id,internal_name,name,type_id,accuracy,effect_chance,pp,priority,power,move_damage_class_id,move_target_id,text,short_effect,effect,min_hits,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance,move_category_id,move_ailment_id
1,pound,拍击,1,100,,35,0,40,2,10,"使用长长的尾巴或手等
拍打对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
2,karate-chop,空手劈,2,100,,25,0,50,2,10,"用锋利的手刀
劈向对手进行攻击。
容易击中要害。",Has an increased chance for a critical hit.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,,,0,0,1,0,0,0,0,0
3,double-slap,连环巴掌,1,85,,10,0,15,2,10,"用连环巴掌
拍打对手进行攻击。
连续攻击２～５次。",Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,,0,0,0,0,0,0,0,0
4,comet-punch,连续拳,1,85,,15,0,18,2,10,"用拳头怒涛般的
殴打对手进行攻击。
连续攻击２～５次。",Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,,0,0,0,0,0,0,0,0
5,mega-punch,百万吨重拳,1,85,,20,0,80,2,10,用充满力量的拳头攻击对手。,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
6,pay-day,聚宝功,1,100,,20,0,40,2,10,"向对手的身体
投掷小金币进行攻击。
战斗后可以拿到钱。",Scatters money on the ground worth five times the user's level.,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.",,,0,0,0,0,0,0,0,0
7,fire-punch,火焰拳,10,100,10,15,0,75,2,10,"用充满火焰的拳头攻击对手。
有时会让对手陷入灼伤状态。",Has a 10% chance to burn the target.,Inflicts regular damage.  Has a 10% chance to burn the target.,,,0,0,0,10,0,0,4,4
8,ice-punch,冰冻拳,15,100,10,15,0,75,2,10,"用充满寒气的拳头攻击对手。
有时会让对手陷入冰冻状态。",Has a 10% chance to freeze the target.,Inflicts regular damage.  Has a 10% chance to freeze the target.,,,0,0,0,10,0,0,4,3
9,thunder-punch,雷电拳,13,100,10,15,0,75,2,10,"用充满电流的拳头攻击对手。
有时会让对手陷入麻痹状态。",Has a 10% chance to paralyze the target.,Inflicts regular damage.  Has a 10% chance to paralyze the target.,,,0,0,0,10,0,0,4,1
10,scratch,抓,1,100,,35,0,40,2,10,"用坚硬且无比锋利的爪子
抓对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
11,vice-grip,夹住,1,100,,30,0,55,2,10,"将对手从两侧夹住，
给予伤害。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
12,guillotine,断头钳,1,30,,5,0,,2,10,"用大钳子或剪刀等
夹断对手进行攻击。
只要命中就会一击濒死。",Causes a one-hit KO.,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,,0,0,0,0,0,0,9,0
13,razor-wind,旋风刀,1,100,,10,0,80,3,11,"制造风之刃，
于第２回合攻击对手。
容易击中要害。",Requires a turn to charge before attacking.,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",,,0,0,1,0,0,0,0,0
14,swords-dance,剑舞,1,,,20,0,,1,7,"激烈地跳起战舞提高气势。
大幅提高自己的攻击。",Raises the user's Attack by two stages.,Raises the user's Attack by two stages.,,,0,0,0,0,0,0,2,0
15,cut,居合斩,1,95,,30,0,50,2,10,"用镰刀或爪子等
切斩对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
16,gust,起风,3,100,,35,0,40,3,10,"用翅膀将刮起的狂风
袭向对手进行攻击。",Inflicts regular damage and can hit Pokémon in the air.,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",,,0,0,0,0,0,0,0,0
