id,baby_trigger_item_id
1,__NULL__
2,__NULL__
3,__NULL__
4,__NULL__
5,__NULL__
6,__NULL__
7,__NULL__
8,__NULL__
9,__NULL__
10,__NULL__
11,__NULL__
12,__NULL__
13,__NULL__
14,__NULL__
15,__NULL__
16,__NULL__
17,__NULL__
18,__NULL__
19,__NULL__
20,__NULL__
21,__NULL__
22,__NULL__
23,__NULL__
24,__NULL__
25,__NULL__
26,__NULL__
27,__NULL__
28,__NULL__
29,__NULL__
30,__NULL__
31,__NULL__
32,__NULL__
33,__NULL__
34,__NULL__
35,__NULL__
36,__NULL__
37,__NULL__
38,__NULL__
39,__NULL__
40,__NULL__
41,__NULL__
42,__NULL__
43,__NULL__
44,__NULL__
45,__NULL__
46,__NULL__
47,__NULL__
48,__NULL__
49,__NULL__
50,__NULL__
51,296
52,__NULL__
53,__NULL__
54,__NULL__
55,__NULL__
56,__NULL__
57,291
58,__NULL__
59,__NULL__
60,__NULL__
61,__NULL__
62,__NULL__
63,__NULL__
64,__NULL__
65,__NULL__
66,__NULL__
67,__NULL__
68,__NULL__
69,__NULL__
70,__NULL__
71,__NULL__
72,293
73,__NULL__
74,__NULL__
75,__NULL__
76,__NULL__
77,__NULL__
78,__NULL__
79,__NULL__
80,__NULL__
81,__NULL__
82,__NULL__
83,__NULL__
84,__NULL__
85,__NULL__
86,__NULL__
87,__NULL__
88,__NULL__
89,__NULL__
90,231
91,292
92,__NULL__
93,__NULL__
94,__NULL__
95,__NULL__
96,__NULL__
97,__NULL__
98,__NULL__
99,__NULL__
100,232
101,__NULL__
102,__NULL__
103,__NULL__
104,__NULL__
105,__NULL__
106,__NULL__
107,__NULL__
108,__NULL__
109,__NULL__
110,__NULL__
111,__NULL__
112,__NULL__
113,__NULL__
114,__NULL__
115,__NULL__
116,294
117,__NULL__
118,__NULL__
119,__NULL__
120,__NULL__
121,__NULL__
122,__NULL__
123,__NULL__
124,__NULL__
125,__NULL__
126,__NULL__
127,__NULL__
128,__NULL__
129,__NULL__
130,__NULL__
131,__NULL__
132,__NULL__
133,__NULL__
134,__NULL__
135,__NULL__
136,__NULL__
137,__NULL__
138,__NULL__
139,__NULL__
140,__NULL__
141,__NULL__
142,__NULL__
143,__NULL__
144,__NULL__
145,__NULL__
146,__NULL__
147,__NULL__
148,__NULL__
149,__NULL__
150,__NULL__
151,__NULL__
152,__NULL__
153,__NULL__
154,__NULL__
155,__NULL__
156,__NULL__
157,__NULL__
158,295
159,__NULL__
160,__NULL__
161,__NULL__
162,__NULL__
163,__NULL__
164,__NULL__
165,__NULL__
166,__NULL__
167,__NULL__
168,__NULL__
169,__NULL__
170,__NULL__
171,__NULL__
172,__NULL__
173,__NULL__
174,__NULL__
175,__NULL__
176,__NULL__
177,__NULL__
178,__NULL__
179,__NULL__
180,__NULL__
181,__NULL__
182,__NULL__
183,__NULL__
184,297
185,__NULL__
186,__NULL__
187,__NULL__
188,__NULL__
189,__NULL__
190,__NULL__
191,__NULL__
192,__NULL__
193,__NULL__
194,__NULL__
195,__NULL__
196,__NULL__
197,__NULL__
198,__NULL__
199,__NULL__
200,__NULL__
201,__NULL__
202,__NULL__
203,__NULL__
204,__NULL__
205,__NULL__
206,__NULL__
207,__NULL__
208,__NULL__
209,__NULL__
211,__NULL__
212,__NULL__
213,__NULL__
214,__NULL__
215,__NULL__
216,__NULL__
217,__NULL__
218,__NULL__
219,__NULL__
220,__NULL__
221,__NULL__
223,__NULL__
224,__NULL__
228,__NULL__
229,__NULL__
230,__NULL__
232,__NULL__
233,__NULL__
234,__NULL__
235,__NULL__
236,__NULL__
237,__NULL__
239,__NULL__
240,__NULL__
241,__NULL__
242,__NULL__
243,__NULL__
244,__NULL__
245,__NULL__
246,__NULL__
247,__NULL__
248,__NULL__
249,__NULL__
250,__NULL__
252,__NULL__
253,__NULL__
254,__NULL__
255,__NULL__
256,__NULL__
257,__NULL__
258,__NULL__
259,__NULL__
260,__NULL__
261,__NULL__
262,__NULL__
263,__NULL__
264,__NULL__
265,__NULL__
266,__NULL__
267,__NULL__
268,__NULL__
269,__NULL__
270,__NULL__
271,__NULL__
272,__NULL__
273,__NULL__
274,__NULL__
275,__NULL__
276,__NULL__
277,__NULL__
278,__NULL__
279,__NULL__
280,__NULL__
281,__NULL__
282,__NULL__
283,__NULL__
284,__NULL__
285,__NULL__
286,__NULL__
287,__NULL__
288,__NULL__
289,__NULL__
290,__NULL__
291,__NULL__
292,__NULL__
293,__NULL__
294,__NULL__
295,__NULL__
296,__NULL__
297,__NULL__
298,__NULL__
299,__NULL__
300,__NULL__
301,__NULL__
302,__NULL__
303,__NULL__
304,__NULL__
305,__NULL__
306,__NULL__
307,__NULL__
308,__NULL__
309,__NULL__
310,__NULL__
311,__NULL__
312,__NULL__
313,__NULL__
314,__NULL__
315,__NULL__
316,__NULL__
317,__NULL__
318,__NULL__
319,__NULL__
320,__NULL__
321,__NULL__
322,__NULL__
323,__NULL__
324,__NULL__
325,__NULL__
326,__NULL__
327,__NULL__
328,__NULL__
329,__NULL__
330,__NULL__
331,__NULL__
332,__NULL__
333,__NULL__
334,__NULL__
335,__NULL__
336,__NULL__
337,__NULL__
338,__NULL__
339,__NULL__
340,__NULL__
341,__NULL__
342,__NULL__
343,__NULL__
344,__NULL__
345,__NULL__
346,__NULL__
347,__NULL__
348,__NULL__
349,__NULL__
350,__NULL__
351,__NULL__
352,__NULL__
353,__NULL__
354,__NULL__
355,__NULL__
356,__NULL__
357,__NULL__
358,__NULL__
359,__NULL__
360,__NULL__
361,__NULL__
362,__NULL__
363,__NULL__
364,__NULL__
365,__NULL__
366,__NULL__
367,__NULL__
368,__NULL__
369,__NULL__
370,__NULL__
371,__NULL__
372,__NULL__
373,__NULL__
374,__NULL__
375,__NULL__
376,__NULL__
377,__NULL__
378,__NULL__
379,__NULL__
380,__NULL__
381,__NULL__
382,__NULL__
383,__NULL__
384,__NULL__
385,__NULL__
386,__NULL__
387,__NULL__
388,__NULL__
389,__NULL__
390,__NULL__
391,__NULL__
392,__NULL__
393,__NULL__
394,__NULL__
395,__NULL__
396,__NULL__
397,__NULL__
398,__NULL__
399,__NULL__
400,__NULL__
401,__NULL__
402,__NULL__
403,__NULL__
404,__NULL__
405,__NULL__
406,__NULL__
407,__NULL__
408,__NULL__
409,__NULL__
410,__NULL__
411,__NULL__
412,__NULL__
413,__NULL__
414,__NULL__
415,__NULL__
416,__NULL__
417,__NULL__
418,__NULL__
419,__NULL__
420,__NULL__
421,__NULL__
422,__NULL__
423,__NULL__
424,__NULL__
425,__NULL__
426,__NULL__
427,__NULL__
428,__NULL__
429,__NULL__
430,__NULL__
431,__NULL__
432,__NULL__
433,__NULL__
434,__NULL__
435,__NULL__
436,__NULL__
437,__NULL__
438,__NULL__
439,__NULL__
440,__NULL__
441,__NULL__
442,__NULL__
443,__NULL__
444,__NULL__
445,__NULL__
446,__NULL__
447,__NULL__
448,__NULL__
449,__NULL__
450,__NULL__
451,__NULL__
452,__NULL__
453,__NULL__
454,__NULL__
455,__NULL__
456,__NULL__
457,__NULL__
458,__NULL__
459,__NULL__
460,__NULL__
461,__NULL__
462,__NULL__
463,__NULL__
464,__NULL__
465,__NULL__
466,__NULL__
467,__NULL__
468,__NULL__
469,__NULL__
470,__NULL__
471,__NULL__
472,__NULL__
473,__NULL__
474,__NULL__
475,__NULL__
476,__NULL__
477,__NULL__
478,__NULL__
479,__NULL__
480,__NULL__
481,__NULL__
482,__NULL__
483,__NULL__
484,__NULL__
485,__NULL__
486,__NULL__
487,__NULL__
488,__NULL__
489,__NULL__
490,__NULL__
491,__NULL__
492,__NULL__
493,__NULL__
494,__NULL__
495,__NULL__
496,__NULL__
497,__NULL__
498,__NULL__
499,__NULL__
500,__NULL__
501,__NULL__
502,__NULL__
503,__NULL__
504,__NULL__
505,__NULL__
506,__NULL__
507,__NULL__
508,__NULL__
509,__NULL__
510,__NULL__
511,__NULL__
512,__NULL__
513,__NULL__
514,__NULL__
515,__NULL__
516,__NULL__
517,__NULL__
518,__NULL__
519,__NULL__
520,__NULL__
521,__NULL__
522,__NULL__
523,__NULL__
524,__NULL__
525,__NULL__
526,__NULL__
527,__NULL__
528,__NULL__
529,__NULL__
530,__NULL__
531,__NULL__
532,__NULL__
533,__NULL__
534,__NULL__
535,__NULL__
536,__NULL__
537,__NULL__
538,__NULL__
539,__NULL__
540,__NULL__
541,__NULL__
542,__NULL__
543,__NULL__
544,__NULL__
545,__NULL__
546,__NULL__
547,__NULL__
548,__NULL__
549,__NULL__
