id,cost,effect,fling_power,internal_name,name,short_effect,text,item_fling_effect_id
1,0,"Used in battle
:   Catches a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,master-ball,大师球,Catches a wild Pokémon every time.,"必定能捉到野生宝可梦的，
性能最好的球。",__NULL__
2,800,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,ultra-ball,高级球,Tries to catch a wild Pokémon.  Success rate is 2×.,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。",__NULL__
3,600,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,great-ball,超级球,Tries to catch a wild Pokémon.  Success rate is 1.5×.,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。",__NULL__
4,200,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,poke-ball,精灵球,Tries to catch a wild Pokémon.,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。",__NULL__
5,0,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the great marsh or kanto safari zone.",__NULL__,safari-ball,狩猎球,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.,"仅能在大湿地中使用的特殊的球。
上面有迷彩花纹。",__NULL__
6,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon is water- or bug-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,net-ball,捕网球,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,"有点与众不同的球。
能很容易地捕捉
水属性和虫属性的宝可梦。",__NULL__
7,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,dive-ball,潜水球,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.","有点与众不同的球。
能很容易地捕捉
生活在水世界里的宝可梦。",__NULL__
8,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon’s level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon’s level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,nest-ball,巢穴球,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.","有点与众不同的球。
捕捉的野生宝可梦越弱，
就会越容易捕捉。",__NULL__
9,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon’s species is marked as caught in the trainer’s Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,repeat-ball,重复球,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.,"有点与众不同的球。
能很容易地捕捉
以前曾捉到过的宝可梦。",__NULL__
10,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,timer-ball,计时球,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.","有点与众不同的球。
回合数花费得越多，
宝可梦就会越容易捕捉。",__NULL__
