id,chance,max_level,min_level,encounter_method_id,location_area_id,creature_id,max_chance
1,60,30,20,5,1,72,60
2,60,30,20,5,1,72,60
3,60,30,20,5,1,72,60
4,5,40,20,5,1,73,5
5,5,40,20,5,1,73,5
6,5,40,20,5,1,73,9
7,4,40,20,5,1,73,9
8,15,40,20,4,1,120,15
9,15,40,20,4,1,120,15
10,15,50,20,4,1,120,15
11,60,6,4,2,1,129,155
12,30,7,3,2,1,129,155
13,5,10,5,2,1,129,155
14,4,10,5,2,1,129,155
15,1,10,5,2,1,129,155
16,40,20,15,3,1,129,155
17,15,25,10,3,1,129,155
18,60,6,4,2,1,129,155
19,30,7,3,2,1,129,155
20,5,10,5,2,1,129,155
21,4,10,5,2,1,129,155
22,1,10,5,2,1,129,155
23,40,20,15,3,1,129,155
24,15,25,10,3,1,129,155
25,60,6,4,2,1,129,155
26,30,7,3,2,1,129,155
27,5,10,5,2,1,129,155
28,4,10,5,2,1,129,155
29,1,15,5,2,1,129,155
30,40,20,15,3,1,129,155
31,15,25,10,3,1,129,155
32,40,40,30,4,1,130,40
33,40,40,30,4,1,130,40
34,40,55,30,4,1,130,40
35,30,30,20,5,1,278,30
36,30,30,20,5,1,278,30
37,4,40,20,5,1,279,5
38,1,40,20,5,1,279,5
39,4,40,20,5,1,279,5
40,1,40,20,5,1,279,5
41,30,30,20,5,1,422,30
42,1,40,20,5,1,423,1
43,40,20,15,3,1,456,45
44,4,25,10,3,1,456,45
45,1,25,10,3,1,456,45
46,40,20,15,3,1,456,45
47,4,25,10,3,1,456,45
48,1,25,10,3,1,456,45
49,40,20,15,3,1,456,45
50,4,25,10,3,1,456,45
51,1,25,10,3,1,456,45
52,40,40,30,4,1,457,45
53,4,50,20,4,1,457,45
54,1,50,20,4,1,457,45
55,40,40,30,4,1,457,45
56,4,50,20,4,1,457,45
57,1,50,20,4,1,457,45
58,40,40,30,4,1,457,45
59,4,55,40,4,1,457,45
60,1,55,40,4,1,457,45
61,60,30,20,5,2,54,90
62,30,40,20,5,2,54,90
63,60,30,20,5,2,54,90
64,30,40,20,5,2,54,90
65,60,30,20,5,2,54,90
66,30,30,20,5,2,54,90
67,5,40,30,5,2,55,10
68,4,40,30,5,2,55,10
69,1,40,20,5,2,55,10
70,5,40,30,5,2,55,10
71,4,40,30,5,2,55,10
72,1,40,20,5,2,55,10
73,5,40,20,5,2,55,10
74,4,40,20,5,2,55,10
75,1,40,20,5,2,55,10
76,60,6,4,2,2,129,155
77,30,7,3,2,2,129,155
78,5,10,5,2,2,129,155
79,4,10,5,2,2,129,155
80,1,10,5,2,2,129,155
81,40,20,15,3,2,129,155
82,15,25,10,3,2,129,155
83,60,6,4,2,2,129,155
84,30,7,3,2,2,129,155
85,5,10,5,2,2,129,155
86,4,10,5,2,2,129,155
87,1,10,5,2,2,129,155
88,40,20,15,3,2,129,155
89,15,25,10,3,2,129,155
90,60,6,4,2,2,129,155
91,30,7,3,2,2,129,155
92,5,10,5,2,2,129,155
93,4,10,5,2,2,129,155
94,1,15,5,2,2,129,155
95,40,20,15,3,2,129,155
96,15,25,10,3,2,129,155
97,40,40,30,4,2,130,55
98,15,55,40,4,2,130,55
99,40,40,30,4,2,130,55
100,15,55,40,4,2,130,55
101,40,40,30,4,2,130,55
102,15,55,40,4,2,130,55
103,40,20,15,3,2,339,45
104,4,25,10,3,2,339,45
105,1,25,10,3,2,339,45
106,40,20,15,3,2,339,45
107,4,25,10,3,2,339,45
108,1,25,10,3,2,339,45
109,40,20,15,3,2,339,45
110,4,25,10,3,2,339,45
111,1,25,10,3,2,339,45
112,40,40,30,4,2,340,45
113,4,50,20,4,2,340,45
114,1,50,20,4,2,340,45
115,40,40,30,4,2,340,45
116,4,50,20,4,2,340,45
117,1,50,20,4,2,340,45
118,40,40,30,4,2,340,45
119,4,55,40,4,2,340,45
120,1,55,40,4,2,340,45
121,60,30,20,5,3,72,60
122,60,30,20,5,3,72,60
123,60,30,20,5,3,72,60
124,5,40,20,5,3,73,5
125,5,40,20,5,3,73,5
126,5,40,20,5,3,73,5
127,60,6,4,2,3,129,155
128,30,7,3,2,3,129,155
129,5,10,5,2,3,129,155
130,4,10,5,2,3,129,155
131,1,10,5,2,3,129,155
132,40,20,15,3,3,129,155
133,15,25,10,3,3,129,155
134,60,6,4,2,3,129,155
135,30,7,3,2,3,129,155
136,5,10,5,2,3,129,155
137,4,10,5,2,3,129,155
138,1,10,5,2,3,129,155
139,40,20,15,3,3,129,155
140,15,25,10,3,3,129,155
141,60,6,4,2,3,129,155
142,30,7,3,2,3,129,155
143,5,10,5,2,3,129,155
144,4,10,5,2,3,129,155
145,1,15,5,2,3,129,155
146,40,20,15,3,3,129,155
147,15,25,10,3,3,129,155
148,40,40,30,4,3,130,55
149,15,55,40,4,3,130,55
150,40,40,30,4,3,130,55
151,15,55,40,4,3,130,55
152,40,40,30,4,3,130,55
153,15,55,40,4,3,130,55
154,40,20,15,3,3,223,45
155,4,25,10,3,3,223,45
156,1,25,10,3,3,223,45
157,40,20,15,3,3,223,45
158,4,25,10,3,3,223,45
159,1,25,10,3,3,223,45
160,40,20,15,3,3,223,45
161,4,25,10,3,3,223,45
162,1,25,10,3,3,223,45
163,40,40,30,4,3,224,45
164,4,50,20,4,3,224,45
165,1,50,20,4,3,224,45
166,40,40,30,4,3,224,45
167,4,50,20,4,3,224,45
168,1,50,20,4,3,224,45
169,40,40,30,4,3,224,45
170,4,55,40,4,3,224,45
171,1,55,40,4,3,224,45
172,30,30,20,5,3,278,30
173,30,30,20,5,3,278,30
174,4,30,20,5,3,278,4
175,4,40,20,5,3,279,5
176,1,40,20,5,3,279,5
177,4,40,20,5,3,279,5
178,1,40,20,5,3,279,5
179,30,30,20,5,3,422,30
180,1,40,20,5,3,423,1
181,60,40,30,5,4,72,60
182,60,45,35,5,4,73,60
183,60,45,35,5,4,73,60
184,5,50,30,5,4,73,9
185,4,50,30,5,4,73,9
186,15,40,20,4,4,120,15
187,15,40,20,4,4,120,15
188,15,50,20,4,4,120,15
189,60,6,4,2,4,129,155
190,30,7,3,2,4,129,155
191,5,10,5,2,4,129,155
192,4,10,5,2,4,129,155
193,1,10,5,2,4,129,155
194,40,20,15,3,4,129,155
195,15,25,10,3,4,129,155
196,60,6,4,2,4,129,155
197,30,7,3,2,4,129,155
198,5,10,5,2,4,129,155
199,4,10,5,2,4,129,155
200,1,10,5,2,4,129,155
201,40,20,15,3,4,129,155
202,15,25,10,3,4,129,155
203,60,6,4,2,4,129,155
204,30,7,3,2,4,129,155
205,5,10,5,2,4,129,155
206,4,10,5,2,4,129,155
207,1,15,5,2,4,129,155
208,40,20,15,3,4,129,155
209,15,25,10,3,4,129,155
210,40,40,30,4,4,130,40
211,40,40,30,4,4,130,40
212,40,55,30,4,4,130,40
213,40,20,15,3,4,223,45
214,4,25,10,3,4,223,45
215,1,25,10,3,4,223,45
216,40,20,15,3,4,223,45
217,4,25,10,3,4,223,45
218,1,25,10,3,4,223,45
219,40,20,15,3,4,223,45
220,4,25,10,3,4,223,45
221,1,25,10,3,4,223,45
222,40,40,30,4,4,224,45
223,4,50,20,4,4,224,45
224,1,50,20,4,4,224,45
225,40,40,30,4,4,224,45
226,4,50,20,4,4,224,45
227,1,50,20,4,4,224,45
