location_area_encounter_id,encounter_condition_value_id
307,8
308,7
330,9
331,10
332,11
333,12
334,13
336,6
349,8
350,7
372,9
373,10
374,11
375,12
376,13
378,6
418,6
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,12
431,12
432,12
433,12
440,1
441,1
442,1
443,1
444,1
445,1
446,7
447,7
448,2
449,2
451,2
455,2
457,8
458,9
459,10
460,11
461,13
462,7
463,2
465,8
466,9
467,10
468,11
469,13
470,7
472,7
474,7
476,7
478,8
479,9
480,10
481,11
482,13
483,7
485,7
487,8
488,9
489,10
490,11
491,13
492,7
493,2
495,7
497,7
501,64
501,67
502,64
502,67
503,67
522,12
523,12
524,12
525,12
526,12
527,12
528,13
529,13
530,13
531,13
532,13
533,13
534,8
535,10
536,5
537,5
538,5
539,5
540,5
541,11
542,11
543,11
544,11
545,11
546,11
547,2
548,3
549,4
550,2
551,3
552,4
553,3
554,4
555,2
557,7
558,7
559,7
560,2
562,7
563,7
564,7
565,9
566,9
567,9
568,9
569,9
570,9
571,1
572,1
573,1
574,1
575,1
576,1
577,6
578,6
579,6
580,6
581,6
582,6
583,6
584,6
585,6
586,6
587,6
588,6
589,7
590,5
591,3
592,3
593,4
594,7
596,8
597,10
598,3
599,4
600,7
602,8
603,10
604,2
605,4
606,7
607,7
609,8
610,10
611,7
613,8
614,10
615,2
616,8
617,10
625,1
626,1
627,1
628,1
636,3
637,4
662,6
663,6
664,6
665,6
674,6
675,6
676,6
677,6
678,6
679,6
680,6
681,6
684,7
685,7
690,2
692,7
693,2
695,7
697,7
699,7
700,2
701,2
703,7
705,7
706,7
708,7
709,5
710,7
712,7
732,3
733,5
734,4
735,5
739,4
740,5
744,5
766,4
767,5
769,4
770,5
772,4
800,3
801,3
804,3
805,3
811,3
812,4
841,8
842,11
843,12
844,13
847,8
848,11
849,12
850,13
852,3
853,5
856,5
857,8
858,11
859,12
860,13
868,4
872,3
873,4
875,10
876,10
877,10
878,10
879,10
880,10
881,9
882,9
883,9
884,9
885,9
886,9
892,8
893,11
894,12
895,13
897,8
898,11
899,12
900,13
902,8
903,11
904,12
905,13
911,8
912,11
913,12
914,13
917,8
918,11
919,12
920,13
922,3
923,5
926,5
927,8
928,11
929,12
930,13
937,4
941,3
942,4
945,10
946,10
947,10
948,10
949,10
950,10
951,9
952,9
953,9
954,9
955,9
956,9
962,8
963,11
964,12
965,13
967,8
968,11
969,12
970,13
972,8
973,11
974,12
975,13
980,8
981,11
982,12
983,13
984,7
985,8
986,11
987,12
988,13
989,7
990,5
991,5
992,5
993,3
994,4
995,7
996,3
997,4
998,7
999,7
1000,5
1001,5
1002,5
1003,6
1004,6
1005,6
1006,6
1007,6
1008,6
1009,6
1010,6
1011,6
1012,6
1013,6
1014,6
1016,3
1017,4
1018,7
1019,3
1020,4
1021,7
1022,3
1023,4
1024,7
1025,10
1026,10
1027,10
1028,10
1029,10
1030,10
1031,9
1032,9
1033,9
1034,9
1035,9
1036,9
1037,8
1038,11
1039,12
1040,13
1041,7
1047,8
1048,11
1049,12
1050,13
1051,7
1052,8
1053,11
1054,12
1055,13
1056,7
1057,8
1058,11
1059,12
1060,13
1061,7
1068,3
1069,4
1070,8
1071,11
1072,12
1073,13
1074,7
1075,8
1076,11
1077,12
1078,13
1079,7
1080,5
1081,5
1082,5
1083,3
1084,4
1085,7
1086,3
1087,4
1088,7
1089,7
1090,5
1091,5
1092,5
1093,6
1094,6
1095,6
1096,6
1097,6
1098,6
1099,6
1100,6
1101,6
1102,6
1103,6
1104,6
1106,3
1107,4
1108,7
1109,3
1110,4
1111,7
1112,3
1113,4
1114,7
1115,10
1116,10
1117,10
1118,10
1119,10
1120,10
1121,9
1122,9
1123,9
1124,9
1125,9
1126,9
1127,8
1128,11
1129,12
1130,13
1131,7
1137,8
1138,11
1139,12
1140,13
1141,7
1142,8
1143,11
1144,12
1145,13
1146,7
1147,8
1148,11
1149,12
1150,13
1151,7
1158,3
1159,4
1161,8
1162,11
1163,12
1164,13
1167,8
1168,11
1169,12
1170,13
1172,3
1173,5
1188,5
1189,8
1190,11
1191,12
1192,13
1203,4
1242,3
1243,4
1245,10
1246,10
1247,10
1248,10
1249,10
1250,10
1251,9
1252,9
1253,9
1254,9
1255,9
1256,9
1272,8
1273,11
1274,12
1275,13
1278,8
1279,11
1280,12
1281,13
1284,8
1285,11
1286,12
1287,13
1291,8
1292,11
1293,12
1294,13
1297,8
1298,11
1299,12
1300,13
1302,3
1303,5
1306,5
1307,8
1308,11
1309,12
1310,13
1318,4
1322,3
1323,4
1325,10
1326,10
1327,10
1328,10
1329,10
1330,10
1331,9
1332,9
1333,9
1334,9
1335,9
1336,9
1343,8
1344,11
1345,12
1346,13
1348,8
1349,11
1350,12
1351,13
1354,8
1355,11
1356,12
1357,13
1361,8
1362,11
1363,12
1364,13
1367,8
1368,11
1369,12
1370,13
1372,3
1373,5
1376,5
