id,accuracy,ailment_chance,crit_rate,drain,effect,effect_chance,flinch_chance,healing,internal_name,max_hits,max_turns,min_hits,min_turns,name,power,pp,priority,short_effect,stat_chance,text,move_ailment_id,move_category_id,move_damage_class_id,move_target_id,type_id
1,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,pound,__NULL__,__NULL__,__NULL__,__NULL__,拍击,40,35,0,Inflicts regular damage with no additional effect.,0,"使用长长的尾巴或手等
拍打对手进行攻击。",0,0,2,10,1
2,100,0,1,0,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,__NULL__,0,0,karate-chop,__NULL__,__NULL__,__NULL__,__NULL__,空手劈,50,25,0,Has an increased chance for a critical hit.,0,"用锋利的手刀
劈向对手进行攻击。
容易击中要害。",0,0,2,10,2
3,85,0,0,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",__NULL__,0,0,double-slap,5,__NULL__,2,__NULL__,连环巴掌,15,10,0,Hits 2-5 times in one turn.,0,"用连环巴掌
拍打对手进行攻击。
连续攻击２～５次。",0,0,2,10,1
4,85,0,0,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",__NULL__,0,0,comet-punch,5,__NULL__,2,__NULL__,连续拳,18,15,0,Hits 2-5 times in one turn.,0,"用拳头怒涛般的
殴打对手进行攻击。
连续攻击２～５次。",0,0,2,10,1
5,85,0,0,0,Inflicts regular damage.,__NULL__,0,0,mega-punch,__NULL__,__NULL__,__NULL__,__NULL__,百万吨重拳,80,20,0,Inflicts regular damage with no additional effect.,0,用充满力量的拳头攻击对手。,0,0,2,10,1
6,100,0,0,0,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",__NULL__,0,0,pay-day,__NULL__,__NULL__,__NULL__,__NULL__,聚宝功,40,20,0,Scatters money on the ground worth five times the user’s level.,0,"向对手的身体
投掷小金币进行攻击。
战斗后可以拿到钱。",0,0,2,10,1
7,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10,0,0,fire-punch,__NULL__,__NULL__,__NULL__,__NULL__,火焰拳,75,15,0,Has a $effect_chance% chance to burn the target.,0,"用充满火焰的拳头攻击对手。
有时会让对手陷入灼伤状态。",4,4,2,10,10
8,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,10,0,0,ice-punch,__NULL__,__NULL__,__NULL__,__NULL__,冰冻拳,75,15,0,Has a $effect_chance% chance to freeze the target.,0,"用充满寒气的拳头攻击对手。
有时会让对手陷入冰冻状态。",3,4,2,10,15
9,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,10,0,0,thunder-punch,__NULL__,__NULL__,__NULL__,__NULL__,雷电拳,75,15,0,Has a $effect_chance% chance to paralyze the target.,0,"用充满电流的拳头攻击对手。
有时会让对手陷入麻痹状态。",1,4,2,10,13
10,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,scratch,__NULL__,__NULL__,__NULL__,__NULL__,抓,40,35,0,Inflicts regular damage with no additional effect.,0,"用坚硬且无比锋利的爪子
抓对手进行攻击。",0,0,2,10,1
