id,code,name,item_id,firmness_id,natural_gift_element_id,growth_time,max_harvest,natural_gift_power,size,smoothness,soil_dryness,enabled
1,cheri,樱子果,126,2,10,3,5,60,20,25,15,true
2,chesto,零余果,127,5,11,3,5,60,80,25,15,true
3,pecha,桃桃果,128,1,13,3,5,60,40,25,15,true
4,rawst,莓莓果,129,3,12,3,5,60,32,25,15,true
5,aspear,利木果,130,5,15,3,5,60,50,25,15,true
6,leppa,苹野果,131,4,2,4,5,60,28,20,15,true
7,oran,橙橙果,132,5,4,4,5,60,35,20,15,true
8,persim,柿仔果,133,3,5,4,5,60,47,20,15,true
9,lum,木子果,134,5,3,12,5,60,34,20,8,true
10,sitrus,文柚果,135,4,14,8,5,60,95,20,7,true
11,figy,勿花果,136,2,7,5,5,60,100,25,10,true
12,wiki,异奇果,137,3,6,5,5,60,115,25,10,true
13,mago,芒芒果,138,3,8,5,5,60,126,25,10,true
14,aguav,乐芭果,139,5,16,5,5,60,64,25,10,true
15,iapapa,芭亚果,140,2,17,5,5,60,223,25,10,true
16,razz,蔓莓果,141,4,9,2,10,60,120,20,35,true
17,bluk,墨莓果,142,2,10,2,10,70,108,20,35,true
18,nanab,蕉香果,143,4,11,2,10,70,77,20,35,true
19,wepear,西梨果,144,5,13,2,10,70,74,20,35,true
20,pinap,凰梨果,145,3,12,2,10,70,80,20,35,true
21,pomeg,榴石果,146,4,15,8,5,70,135,20,8,true
22,kelpsy,藻根果,147,3,2,8,5,70,150,20,8,true
23,qualot,比巴果,148,3,4,8,5,70,110,20,8,true
24,hondew,哈密果,149,3,5,8,5,70,162,20,8,true
25,grepa,萄葡果,150,2,3,8,5,70,149,20,8,true
26,tamato,茄番果,151,2,14,8,5,70,200,30,8,true
27,cornn,玉黍果,152,3,7,6,10,70,75,30,10,true
28,magost,岳竹果,153,3,6,6,10,70,140,30,10,true
29,rabuta,茸丹果,154,2,8,6,10,70,226,30,10,true
30,nomel,檬柠果,155,5,16,6,10,70,285,30,10,true
31,spelon,刺角果,156,2,17,15,15,70,133,35,8,true
32,pamtre,椰木果,157,1,9,15,15,70,244,35,8,true
33,watmel,瓜西果,158,2,10,15,15,80,250,35,8,true
34,durin,金枕果,159,3,11,15,15,80,280,35,8,true
35,belue,靛莓果,160,1,13,15,15,80,300,35,8,true
36,occa,巧可果,161,5,10,18,5,60,90,30,6,true
37,passho,千香果,162,2,11,18,5,60,33,30,6,true
38,wacan,烛木果,163,1,13,18,5,60,250,30,6,true
39,rindo,罗子果,164,2,12,18,5,60,156,30,6,true
40,yache,番荔果,165,4,15,18,5,60,135,30,6,true
41,chople,莲蒲果,166,2,2,18,5,60,77,30,6,true
42,kebia,通通果,167,3,4,18,5,60,90,30,6,true
43,shuca,腰木果,168,2,5,18,5,60,42,30,6,true
44,coba,棱瓜果,169,4,3,18,5,60,278,30,6,true
45,payapa,福禄果,170,2,14,18,5,60,252,30,6,true
46,tanga,扁樱果,171,1,7,18,5,60,42,35,6,true
47,charti,草蚕果,172,1,6,18,5,60,28,35,6,true
48,kasib,佛柑果,173,3,8,18,5,60,144,35,6,true
49,haban,莓榴果,174,2,16,18,5,60,23,35,6,true
50,colbur,刺耳果,175,5,17,18,5,60,39,35,6,true
51,babiri,霹霹果,176,5,9,18,5,60,265,35,6,true
52,chilan,灯浆果,177,1,1,18,5,60,34,35,6,true
53,liechi,枝荔果,178,4,12,24,5,80,111,40,4,true
54,ganlon,龙睛果,179,4,15,24,5,80,33,40,4,true
55,salac,沙鳞果,180,4,2,24,5,80,95,40,4,true
56,petaya,龙火果,181,4,4,24,5,80,237,40,4,true
57,apicot,杏仔果,182,3,5,24,5,80,75,40,4,true
58,lansat,兰萨果,183,2,3,24,5,80,97,50,4,true
59,starf,星桃果,184,5,14,24,5,80,153,50,4,true
60,enigma,谜芝果,185,3,7,24,5,80,155,60,7,true
61,micle,奇秘果,186,2,6,24,5,80,41,60,7,true
62,custap,释陀果,187,5,8,24,5,80,267,60,7,true
63,jaboca,嘉珍果,188,2,16,24,5,80,33,60,7,true
64,rowap,雾莲果,189,1,17,24,5,80,52,60,7,true
