id,code,name,region_id,main_series,description,enabled
1,national,全国图鉴,,true,全国图鉴编号顺序,true
2,kanto,关都图鉴,1,true,红/蓝/黄版关都图鉴,true
3,original-johto,原始城都图鉴,2,true,金/银/水晶版城都图鉴，游戏内称为“新图鉴”,true
4,hoenn,原始丰缘图鉴,3,true,红宝石/蓝宝石/绿宝石版丰缘图鉴,true
5,original-sinnoh,原始神奥图鉴,4,true,钻石/珍珠版神奥图鉴,true
6,extended-sinnoh,扩展神奥图鉴,4,true,白金版神奥图鉴，基于钻石/珍珠版扩展,true
7,updated-johto,更新城都图鉴,2,true,心金/魂银版城都图鉴，基于金/银/水晶版扩展，并加入第四世代新增进化,true
8,original-unova,原始合众图鉴,5,true,黑/白版合众图鉴,true
9,updated-unova,更新合众图鉴,5,true,黑2/白2版合众图鉴,true
11,conquest-gallery,征服画廊,,false,征服画廊顺序,true
12,kalos-central,卡洛斯中部图鉴,6,true,,true
13,kalos-coastal,卡洛斯海岸图鉴,6,true,,true
14,kalos-mountain,卡洛斯山岳图鉴,6,true,,true
15,updated-hoenn,更新丰缘图鉴,3,true,欧米伽红宝石/阿尔法蓝宝石版丰缘图鉴，基于红宝石/蓝宝石/绿宝石版更新，并加入新增进化,true
16,original-alola,原始阿罗拉图鉴,7,true,太阳/月亮版阿罗拉图鉴,true
17,original-melemele,原始美乐美乐图鉴,7,true,太阳/月亮版美乐美乐图鉴,true
18,original-akala,原始阿卡拉图鉴,7,true,太阳/月亮版阿卡拉图鉴,true
19,original-ulaula,原始乌拉乌拉图鉴,7,true,太阳/月亮版乌拉乌拉图鉴,true
20,original-poni,原始波尼图鉴,7,true,太阳/月亮版波尼图鉴,true
21,updated-alola,更新阿罗拉图鉴,7,true,究极之日/究极之月版阿罗拉图鉴,true
22,updated-melemele,更新美乐美乐图鉴,7,true,究极之日/究极之月版美乐美乐图鉴,true
23,updated-akala,更新阿卡拉图鉴,7,true,究极之日/究极之月版阿卡拉图鉴,true
24,updated-ulaula,更新乌拉乌拉图鉴,7,true,究极之日/究极之月版乌拉乌拉图鉴,true
25,updated-poni,更新波尼图鉴,7,true,究极之日/究极之月版波尼图鉴,true
26,letsgo-kanto,出发吧关都图鉴,1,true,出发吧：皮卡丘/出发吧：伊布版关都图鉴,true
27,galar,伽勒尔图鉴,8,true,剑/盾版伽勒尔图鉴,true
28,isle-of-armor,铠岛图鉴,8,true,铠岛图鉴,true
29,crown-tundra,王冠雪原图鉴,8,true,王冠雪原图鉴,true
30,hisui,洗翠图鉴,9,true,洗翠图鉴,true
31,paldea,帕底亚图鉴,10,true,帕底亚图鉴,true
32,kitakami,北上图鉴,10,true,北上图鉴,true
33,blueberry,蓝莓图鉴,10,true,蓝莓学院图鉴,true
34,lumiose-city,密阿雷市图鉴,6,true,密阿雷市图鉴,true
35,hyperspace,超空间图鉴,6,true,超空间图鉴,true
36,champions,冠军目录,,false,冠军目录,true
