id,characteristic_id,possible_value
1,1,0
2,1,5
3,1,10
4,1,15
5,1,20
6,1,25
7,1,30
8,2,0
9,2,5
10,2,10
11,2,15
12,2,20
13,2,25
14,2,30
15,3,0
16,3,5
17,3,10
18,3,15
19,3,20
20,3,25
21,3,30
22,4,0
23,4,5
24,4,10
25,4,15
26,4,20
27,4,25
28,4,30
29,5,0
30,5,5
31,5,10
32,5,15
33,5,20
34,5,25
35,5,30
36,6,0
37,6,5
38,6,10
39,6,15
40,6,20
41,6,25
42,6,30
43,7,1
44,7,6
45,7,11
46,7,16
47,7,21
48,7,26
49,7,31
50,8,1
51,8,6
52,8,11
53,8,16
54,8,21
55,8,26
56,8,31
57,9,1
58,9,6
59,9,11
60,9,16
61,9,21
62,9,26
63,9,31
64,10,1
65,10,6
66,10,11
67,10,16
68,10,21
69,10,26
70,10,31
71,11,1
72,11,6
73,11,11
74,11,16
75,11,21
76,11,26
77,11,31
78,12,1
79,12,6
80,12,11
81,12,16
82,12,21
83,12,26
84,12,31
85,13,2
86,13,7
87,13,12
88,13,17
89,13,22
90,13,27
91,14,2
92,14,7
93,14,12
94,14,17
95,14,22
96,14,27
97,15,2
98,15,7
99,15,12
100,15,17
101,15,22
102,15,27
103,16,2
104,16,7
105,16,12
106,16,17
107,16,22
108,16,27
109,17,2
110,17,7
111,17,12
112,17,17
113,17,22
114,17,27
115,18,2
116,18,7
117,18,12
118,18,17
119,18,22
120,18,27
121,19,3
122,19,8
123,19,13
124,19,18
125,19,23
126,19,28
127,20,3
128,20,8
129,20,13
130,20,18
131,20,23
132,20,28
133,21,3
134,21,8
135,21,13
136,21,18
137,21,23
138,21,28
139,22,3
140,22,8
141,22,13
142,22,18
143,22,23
144,22,28
145,23,3
146,23,8
147,23,13
148,23,18
149,23,23
150,23,28
151,24,3
152,24,8
153,24,13
154,24,18
155,24,23
156,24,28
157,25,4
158,25,9
159,25,14
160,25,19
161,25,24
162,25,29
163,26,4
164,26,9
165,26,14
166,26,19
167,26,24
168,26,29
169,27,4
170,27,9
171,27,14
172,27,19
173,27,24
174,27,29
175,28,4
176,28,9
177,28,14
178,28,19
179,28,24
180,28,29
181,29,4
182,29,9
183,29,14
184,29,19
185,29,24
186,29,29
187,30,4
188,30,9
189,30,14
190,30,19
191,30,24
192,30,29
