id,appeal,jam,effect,flavor_text
1,4,0,Gives a high number of appeal points with no other effects.,A highly appealing move.
2,3,0,"If the Pokémon that appealed before the user earned less than three appeal points, user earns six; if three, user earns three; if more than three, user earns none.",Affected by how well the appeal in front goes.
3,6,0,"If the user is jammed this turn after using this move, it will receive twice as many jam points.","After this move, the user is more easily startled."
4,1,4,Attempts to jam the Pokémon that appealed before the user.,Badly startles the Pokémon in front.
5,1,3,Attempts to jam all Pokémon that have appealed this turn.,Badly startles those that have made appeals.
6,4,4,"Attempts to jam the other Pokémon. The user cannot make an appeal on the next turn, but it cannot be jammed either.","Jams the others, and misses one turn of appeals."
7,8,0,User cannot make any more appeals for the remainder of the contest.,"Makes a great appeal, but allows no more to the end."
8,2,2,Attempts to jam all Pokémon that have appealed this turn.,Startles all Pokémon that have done their appeals.
9,2,3,Attempts to jam the Pokémon that appealed before the user.,Startles the Pokémon that appealed before the user.
10,2,1,"Attempts to jam all Pokémon that have appealed this turn. If a Pokémon is in combo standby status, it is jammed 5 points instead of 1.",Startles the Pokémon that has the judge’s attention.
11,1,0,"If the Applause meter is empty or at one, earns one point; if two, earns three points; if three, earns four points; if four, earns six points.",The appeal works best the more the crowd is excited.
12,2,0,"If the last Pokémon’s appeal is the same type as this move, user earns six points instead of two.",Works well if it’s the same type as the one before.
13,1,0,"Always adds a point to the applause meter, regardless of whether the move matches the contest, and can likewise gain the applause bonus.",An appeal that excites the audience in any contest.
14,2,1,Attempts to jam all Pokémon that have appealed this turn for half their appeal points (minimum 1).,Badly startles all Pokémon that made good appeals.
15,1,0,Prevents jamming for the rest of this turn.,Can avoid being startled by others.
16,2,0,Prevents the next jam on this turn.,Can avoid being startled by others once.
17,3,0,Repeated use does not incur a penalty.,Can be repeatedly used without boring the judge.
18,2,0,Attempts to make all following Pokémon nervous (and thus unable to appeal).,Makes all Pokémon after the user nervous.
19,1,0,User earns appeal points equal to the points the previous Pokémon earned plus one.,Makes the appeal as good as the one before it.
20,1,0,User earns appeal points equal to half the points ALL the previous Pokémon earned plus one.,Makes the appeal as good as those before it.
21,3,0,Shuffles the next turn’s turn order.,Scrambles up the order of appeals on the next turn.
22,3,0,Cancels combo standby status for all Pokémon that have appealed this turn.,Shifts the judge’s attention from others.
23,2,1,"Attempts to jam all Pokémon that have appealed this turn. If a Pokémon used the same type move as this one, it is jammed for 4 points instead of 1.",Startles Pokémon that made a same-type appeal.
24,3,0,Prevents the Applause Meter from rising for the rest of the turn.,Temporarily stops the crowd from getting excited.
25,1,0,"Randomly earns one, two, four, or eight points.",The appeal’s quality depends on its timing.
26,1,0,"If user appeals first this turn, earns one point; if second, two points; if third, four points; if last, six points.",The appeal works better the later it is performed.
27,2,0,"If user appeals first this turn, earns six points instead of two.",The appeal works great if performed first.
28,2,0,"If user appeals last this turn, earns six points instead of two.",The appeal works great if performed last.
29,1,0,"If user has no stars, earns one point; if one, three points; if two, five points; if three, seven points. This does not include the appeal point bonus the stars give.",The appeal works well if the user’s condition is good.
30,3,0,User will go first next turn.,The next appeal can be made earlier next turn.
31,3,0,User will go last next turn.,The next appeal can be made later next turn.
32,1,0,User gains one star.,Ups the user’s condition. Helps prevent nervousness.
33,3,0,Removes all stars from all Pokémon that have appealed this turn.,Worsens the condition of those that made appeals.
