id,code,name,creature_id,version_group_id,form_name,sort_order,form_order,battle_only,default_form,enhanced_form,enabled
1,bulbasaur,bulbasaur,1,28,,1,1,false,true,false,true
2,ivysaur,ivysaur,2,28,,2,1,false,true,false,true
3,venusaur,venusaur,3,28,,3,1,false,true,false,true
4,charmander,charmander,4,28,,5,1,false,true,false,true
5,charmeleon,charmeleon,5,28,,6,1,false,true,false,true
6,charizard,charizard,6,28,,7,1,false,true,false,true
7,squirtle,squirtle,7,28,,10,1,false,true,false,true
8,wartortle,wartortle,8,28,,11,1,false,true,false,true
9,blastoise,blastoise,9,28,,12,1,false,true,false,true
10,caterpie,caterpie,10,28,,14,1,false,true,false,true
11,metapod,metapod,11,28,,15,1,false,true,false,true
12,butterfree,butterfree,12,28,,16,1,false,true,false,true
13,weedle,weedle,13,28,,17,1,false,true,false,true
14,kakuna,kakuna,14,28,,18,1,false,true,false,true
15,beedrill,beedrill,15,28,,19,1,false,true,false,true
16,pidgey,pidgey,16,28,,21,1,false,true,false,true
17,pidgeotto,pidgeotto,17,28,,22,1,false,true,false,true
18,pidgeot,pidgeot,18,28,,23,1,false,true,false,true
19,rattata,rattata,19,28,,25,1,false,true,false,true
20,raticate,raticate,20,28,,27,1,false,true,false,true
21,spearow,spearow,21,28,,30,1,false,true,false,true
22,fearow,fearow,22,28,,31,1,false,true,false,true
23,ekans,ekans,23,28,,32,1,false,true,false,true
24,arbok,arbok,24,28,,33,1,false,true,false,true
25,pikachu,pikachu,25,28,,36,1,false,true,false,true
26,raichu,raichu,26,28,,52,1,false,true,false,true
27,sandshrew,sandshrew,27,28,,56,1,false,true,false,true
28,sandslash,sandslash,28,28,,58,1,false,true,false,true
29,nidoran-f,nidoran-f,29,28,,60,1,false,true,false,true
30,nidorina,nidorina,30,28,,61,1,false,true,false,true
31,nidoqueen,nidoqueen,31,28,,62,1,false,true,false,true
32,nidoran-m,nidoran-m,32,28,,63,1,false,true,false,true
33,nidorino,nidorino,33,28,,64,1,false,true,false,true
34,nidoking,nidoking,34,28,,65,1,false,true,false,true
35,clefairy,clefairy,35,28,,67,1,false,true,false,true
36,clefable,clefable,36,28,,68,1,false,true,false,true
37,vulpix,vulpix,37,28,,70,1,false,true,false,true
38,ninetales,ninetales,38,28,,72,1,false,true,false,true
39,jigglypuff,jigglypuff,39,28,,75,1,false,true,false,true
40,wigglytuff,wigglytuff,40,28,,76,1,false,true,false,true
41,zubat,zubat,41,28,,77,1,false,true,false,true
42,golbat,golbat,42,28,,78,1,false,true,false,true
43,oddish,oddish,43,28,,80,1,false,true,false,true
44,gloom,gloom,44,28,,81,1,false,true,false,true
45,vileplume,vileplume,45,28,,82,1,false,true,false,true
46,paras,paras,46,28,,84,1,false,true,false,true
47,parasect,parasect,47,28,,85,1,false,true,false,true
48,venonat,venonat,48,28,,86,1,false,true,false,true
49,venomoth,venomoth,49,28,,87,1,false,true,false,true
50,diglett,diglett,50,28,,88,1,false,true,false,true
51,dugtrio,dugtrio,51,28,,90,1,false,true,false,true
52,meowth,meowth,52,28,,92,1,false,true,false,true
53,persian,persian,53,28,,95,1,false,true,false,true
54,psyduck,psyduck,54,28,,97,1,false,true,false,true
55,golduck,golduck,55,28,,98,1,false,true,false,true
56,mankey,mankey,56,28,,99,1,false,true,false,true
57,primeape,primeape,57,28,,100,1,false,true,false,true
58,growlithe,growlithe,58,28,,101,1,false,true,false,true
59,arcanine,arcanine,59,28,,102,1,false,true,false,true
60,poliwag,poliwag,60,28,,103,1,false,true,false,true
61,poliwhirl,poliwhirl,61,28,,104,1,false,true,false,true
62,poliwrath,poliwrath,62,28,,105,1,false,true,false,true
63,abra,abra,63,28,,107,1,false,true,false,true
64,kadabra,kadabra,64,28,,108,1,false,true,false,true
65,alakazam,alakazam,65,28,,109,1,false,true,false,true
66,machop,machop,66,28,,111,1,false,true,false,true
67,machoke,machoke,67,28,,112,1,false,true,false,true
68,machamp,machamp,68,28,,113,1,false,true,false,true
69,bellsprout,bellsprout,69,28,,114,1,false,true,false,true
70,weepinbell,weepinbell,70,28,,115,1,false,true,false,true
71,victreebel,victreebel,71,28,,116,1,false,true,false,true
72,tentacool,tentacool,72,28,,118,1,false,true,false,true
73,tentacruel,tentacruel,73,28,,119,1,false,true,false,true
74,geodude,geodude,74,28,,120,1,false,true,false,true
75,graveler,graveler,75,28,,122,1,false,true,false,true
76,golem,golem,76,28,,124,1,false,true,false,true
77,ponyta,ponyta,77,28,,126,1,false,true,false,true
78,rapidash,rapidash,78,28,,128,1,false,true,false,true
79,slowpoke,slowpoke,79,28,,130,1,false,true,false,true
80,slowbro,slowbro,80,28,,132,1,false,true,false,true
81,magnemite,magnemite,81,28,,137,1,false,true,false,true
82,magneton,magneton,82,28,,138,1,false,true,false,true
83,farfetchd,farfetchd,83,28,,140,1,false,true,false,true
84,doduo,doduo,84,28,,142,1,false,true,false,true
85,dodrio,dodrio,85,28,,143,1,false,true,false,true
86,seel,seel,86,28,,144,1,false,true,false,true
87,dewgong,dewgong,87,28,,145,1,false,true,false,true
88,grimer,grimer,88,28,,146,1,false,true,false,true
89,muk,muk,89,28,,148,1,false,true,false,true
90,shellder,shellder,90,28,,150,1,false,true,false,true
91,cloyster,cloyster,91,28,,151,1,false,true,false,true
92,gastly,gastly,92,28,,152,1,false,true,false,true
93,haunter,haunter,93,28,,153,1,false,true,false,true
94,gengar,gengar,94,28,,154,1,false,true,false,true
95,onix,onix,95,28,,156,1,false,true,false,true
96,drowzee,drowzee,96,28,,159,1,false,true,false,true
97,hypno,hypno,97,28,,160,1,false,true,false,true
98,krabby,krabby,98,28,,161,1,false,true,false,true
99,kingler,kingler,99,28,,162,1,false,true,false,true
100,voltorb,voltorb,100,28,,163,1,false,true,false,true
101,electrode,electrode,101,28,,164,1,false,true,false,true
102,exeggcute,exeggcute,102,28,,165,1,false,true,false,true
103,exeggutor,exeggutor,103,28,,166,1,false,true,false,true
104,cubone,cubone,104,28,,168,1,false,true,false,true
105,marowak,marowak,105,28,,169,1,false,true,false,true
106,hitmonlee,hitmonlee,106,28,,173,1,false,true,false,true
107,hitmonchan,hitmonchan,107,28,,174,1,false,true,false,true
108,lickitung,lickitung,108,28,,176,1,false,true,false,true
109,koffing,koffing,109,28,,178,1,false,true,false,true
110,weezing,weezing,110,28,,179,1,false,true,false,true
111,rhyhorn,rhyhorn,111,28,,181,1,false,true,false,true
112,rhydon,rhydon,112,28,,182,1,false,true,false,true
113,chansey,chansey,113,28,,185,1,false,true,false,true
114,tangela,tangela,114,28,,187,1,false,true,false,true
115,kangaskhan,kangaskhan,115,28,,189,1,false,true,false,true
116,horsea,horsea,116,28,,191,1,false,true,false,true
117,seadra,seadra,117,28,,192,1,false,true,false,true
118,goldeen,goldeen,118,28,,194,1,false,true,false,true
119,seaking,seaking,119,28,,195,1,false,true,false,true
120,staryu,staryu,120,28,,196,1,false,true,false,true
121,starmie,starmie,121,28,,197,1,false,true,false,true
122,mr-mime,mr-mime,122,28,,200,1,false,true,false,true
123,scyther,scyther,123,28,,202,1,false,true,false,true
124,jynx,jynx,124,28,,206,1,false,true,false,true
125,electabuzz,electabuzz,125,28,,208,1,false,true,false,true
126,magmar,magmar,126,28,,211,1,false,true,false,true
127,pinsir,pinsir,127,28,,213,1,false,true,false,true
128,tauros,tauros,128,28,,215,1,false,true,false,true
129,magikarp,magikarp,129,28,,216,1,false,true,false,true
130,gyarados,gyarados,130,28,,217,1,false,true,false,true
131,lapras,lapras,131,28,,219,1,false,true,false,true
132,ditto,ditto,132,28,,220,1,false,true,false,true
133,eevee,eevee,133,28,,221,1,false,true,false,true
134,vaporeon,vaporeon,134,28,,223,1,false,true,false,true
135,jolteon,jolteon,135,28,,224,1,false,true,false,true
136,flareon,flareon,136,28,,225,1,false,true,false,true
137,porygon,porygon,137,28,,231,1,false,true,false,true
138,omanyte,omanyte,138,28,,234,1,false,true,false,true
139,omastar,omastar,139,28,,235,1,false,true,false,true
140,kabuto,kabuto,140,28,,236,1,false,true,false,true
141,kabutops,kabutops,141,28,,237,1,false,true,false,true
142,aerodactyl,aerodactyl,142,28,,238,1,false,true,false,true
143,snorlax,snorlax,143,28,,241,1,false,true,false,true
144,articuno,articuno,144,28,,242,1,false,true,false,true
145,zapdos,zapdos,145,28,,244,1,false,true,false,true
146,moltres,moltres,146,28,,246,1,false,true,false,true
147,dratini,dratini,147,28,,248,1,false,true,false,true
148,dragonair,dragonair,148,28,,249,1,false,true,false,true
149,dragonite,dragonite,149,28,,250,1,false,true,false,true
150,mewtwo,mewtwo,150,28,,252,1,false,true,false,true
151,mew,mew,151,28,,255,1,false,true,false,true
152,chikorita,chikorita,152,3,,256,1,false,true,false,true
153,bayleef,bayleef,153,3,,257,1,false,true,false,true
154,meganium,meganium,154,3,,258,1,false,true,false,true
155,cyndaquil,cyndaquil,155,3,,260,1,false,true,false,true
156,quilava,quilava,156,3,,261,1,false,true,false,true
157,typhlosion,typhlosion,157,3,,262,1,false,true,false,true
158,totodile,totodile,158,3,,263,1,false,true,false,true
159,croconaw,croconaw,159,3,,264,1,false,true,false,true
160,feraligatr,feraligatr,160,3,,265,1,false,true,false,true
161,sentret,sentret,161,3,,267,1,false,true,false,true
162,furret,furret,162,3,,268,1,false,true,false,true
163,hoothoot,hoothoot,163,3,,269,1,false,true,false,true
164,noctowl,noctowl,164,3,,270,1,false,true,false,true
165,ledyba,ledyba,165,3,,271,1,false,true,false,true
166,ledian,ledian,166,3,,272,1,false,true,false,true
167,spinarak,spinarak,167,3,,273,1,false,true,false,true
168,ariados,ariados,168,3,,274,1,false,true,false,true
169,crobat,crobat,169,3,,79,1,false,true,false,true
170,chinchou,chinchou,170,3,,275,1,false,true,false,true
171,lanturn,lanturn,171,3,,276,1,false,true,false,true
172,pichu,pichu,172,3,,34,1,false,true,false,true
173,cleffa,cleffa,173,3,,66,1,false,true,false,true
174,igglybuff,igglybuff,174,3,,74,1,false,true,false,true
175,togepi,togepi,175,3,,277,1,false,true,false,true
176,togetic,togetic,176,3,,278,1,false,true,false,true
177,natu,natu,177,3,,280,1,false,true,false,true
178,xatu,xatu,178,3,,281,1,false,true,false,true
179,mareep,mareep,179,3,,282,1,false,true,false,true
180,flaaffy,flaaffy,180,3,,283,1,false,true,false,true
181,ampharos,ampharos,181,3,,284,1,false,true,false,true
182,bellossom,bellossom,182,3,,83,1,false,true,false,true
183,marill,marill,183,3,,287,1,false,true,false,true
184,azumarill,azumarill,184,3,,288,1,false,true,false,true
185,sudowoodo,sudowoodo,185,3,,290,1,false,true,false,true
186,politoed,politoed,186,3,,106,1,false,true,false,true
187,hoppip,hoppip,187,3,,291,1,false,true,false,true
188,skiploom,skiploom,188,3,,292,1,false,true,false,true
189,jumpluff,jumpluff,189,3,,293,1,false,true,false,true
190,aipom,aipom,190,3,,294,1,false,true,false,true
191,sunkern,sunkern,191,3,,296,1,false,true,false,true
192,sunflora,sunflora,192,3,,297,1,false,true,false,true
193,yanma,yanma,193,3,,298,1,false,true,false,true
194,wooper,wooper,194,3,,300,1,false,true,false,true
195,quagsire,quagsire,195,3,,301,1,false,true,false,true
196,espeon,espeon,196,3,,226,1,false,true,false,true
197,umbreon,umbreon,197,3,,227,1,false,true,false,true
198,murkrow,murkrow,198,3,,302,1,false,true,false,true
199,slowking,slowking,199,3,,135,1,false,true,false,true
200,misdreavus,misdreavus,200,3,,304,1,false,true,false,true
201,unown-a,Unown A,201,3,a,306,1,false,true,false,true
202,wobbuffet,wobbuffet,202,3,,335,1,false,true,false,true
203,girafarig,girafarig,203,3,,336,1,false,true,false,true
