id,creature_id,game_index
20,1,1
40,2,2
60,3,3
80,4,4
100,5,5
120,6,6
140,7,7
160,8,8
180,9,9
200,10,10
220,11,11
240,12,12
260,13,13
280,14,14
300,15,15
320,16,16
340,17,17
360,18,18
380,19,19
400,20,20
420,21,21
440,22,22
460,23,23
480,24,24
500,25,25
520,26,26
540,27,27
560,28,28
580,29,29
600,30,30
620,31,31
640,32,32
660,33,33
680,34,34
700,35,35
720,36,36
740,37,37
760,38,38
780,39,39
800,40,40
820,41,41
840,42,42
860,43,43
880,44,44
900,45,45
920,46,46
940,47,47
960,48,48
980,49,49
1000,50,50
1020,51,51
1040,52,52
1060,53,53
1080,54,54
1100,55,55
1120,56,56
1140,57,57
1160,58,58
1180,59,59
1200,60,60
1220,61,61
1240,62,62
1260,63,63
1280,64,64
1300,65,65
1320,66,66
1340,67,67
1360,68,68
1380,69,69
1400,70,70
1420,71,71
1440,72,72
1460,73,73
1480,74,74
1500,75,75
1520,76,76
1540,77,77
1560,78,78
1580,79,79
1600,80,80
1620,81,81
1640,82,82
1660,83,83
1680,84,84
1700,85,85
1720,86,86
1740,87,87
1760,88,88
1780,89,89
1800,90,90
1820,91,91
1840,92,92
1860,93,93
1880,94,94
1900,95,95
1920,96,96
1940,97,97
1960,98,98
1980,99,99
2000,100,100
2020,101,101
2040,102,102
2060,103,103
2080,104,104
2100,105,105
2120,106,106
2140,107,107
2160,108,108
2180,109,109
2200,110,110
2220,111,111
2240,112,112
2260,113,113
2280,114,114
2300,115,115
2320,116,116
2340,117,117
2360,118,118
2380,119,119
2400,120,120
2420,121,121
2440,122,122
2460,123,123
2480,124,124
2500,125,125
2520,126,126
2540,127,127
2560,128,128
2580,129,129
2600,130,130
2620,131,131
2640,132,132
2660,133,133
2680,134,134
2700,135,135
2720,136,136
2740,137,137
2760,138,138
2780,139,139
2800,140,140
2820,141,141
2840,142,142
2860,143,143
2880,144,144
2900,145,145
2920,146,146
2940,147,147
2960,148,148
2980,149,149
3000,150,150
3020,151,151
3037,152,152
3054,153,153
3071,154,154
3088,155,155
3105,156,156
3122,157,157
3139,158,158
3156,159,159
3173,160,160
3190,161,161
3207,162,162
3224,163,163
3241,164,164
3258,165,165
3275,166,166
3292,167,167
3309,168,168
3326,169,169
3343,170,170
3360,171,171
3377,172,172
3394,173,173
3411,174,174
3428,175,175
3445,176,176
3462,177,177
3479,178,178
3496,179,179
3513,180,180
3530,181,181
3547,182,182
3564,183,183
3581,184,184
3598,185,185
3615,186,186
3632,187,187
3649,188,188
3666,189,189
3683,190,190
3700,191,191
3717,192,192
3734,193,193
3751,194,194
3768,195,195
3785,196,196
3802,197,197
3819,198,198
3836,199,199
3853,200,200
3870,201,201
3887,202,202
3904,203,203
3921,204,204
3938,205,205
3955,206,206
3972,207,207
3989,208,208
4006,209,209
4023,210,210
4040,211,211
4057,212,212
4074,213,213
4091,214,214
4108,215,215
4125,216,216
4142,217,217
4159,218,218
4176,219,219
4193,220,220
4210,221,221
4227,222,222
4244,223,223
4261,224,224
4278,225,225
4295,226,226
4312,227,227
4329,228,228
4346,229,229
4363,230,230
4380,231,231
4397,232,232
4414,233,233
4431,234,234
4448,235,235
4465,236,236
4482,237,237
4499,238,238
4516,239,239
4533,240,240
4550,241,241
4567,242,242
4584,243,243
4601,244,244
4618,245,245
4635,246,246
4652,247,247
4669,248,248
4686,249,249
4703,250,250
4720,251,251
4734,252,252
4748,253,253
4762,254,254
4776,255,255
4790,256,256
4804,257,257
4818,258,258
4832,259,259
4846,260,260
4860,261,261
4874,262,262
4888,263,263
4902,264,264
4916,265,265
4930,266,266
4944,267,267
4958,268,268
4972,269,269
4986,270,270
5000,271,271
5014,272,272
5028,273,273
5042,274,274
5056,275,275
5070,276,276
5084,277,277
5098,278,278
5112,279,279
5126,280,280
5140,281,281
5154,282,282
5168,283,283
5182,284,284
5196,285,285
5210,286,286
5224,287,287
5238,288,288
5252,289,289
5266,290,290
5280,291,291
5294,292,292
5308,293,293
5322,294,294
5336,295,295
5350,296,296
5364,297,297
5378,298,298
5392,299,299
5406,300,300
5420,301,301
5434,302,302
5448,303,303
5462,304,304
5476,305,305
5490,306,306
5504,307,307
5518,308,308
5532,309,309
5546,310,310
5560,311,311
5574,312,312
5588,313,313
5602,314,314
5616,315,315
5630,316,316
5644,317,317
5658,318,318
5672,319,319
5686,320,320
5700,321,321
5714,322,322
5728,323,323
5742,324,324
5756,325,325
5770,326,326
5784,327,327
5798,328,328
5812,329,329
5826,330,330
5840,331,331
5854,332,332
5868,333,333
5882,334,334
5896,335,335
5910,336,336
5924,337,337
5938,338,338
5952,339,339
5966,340,340
5980,341,341
5994,342,342
6008,343,343
6022,344,344
6036,345,345
