id,creature_id,item_id,rarity
22,12,199,5
44,15,222,5
52,19,177,5
54,20,132,50
56,20,135,5
63,20,177,5
67,21,221,5
90,22,221,5
92,24,222,5
102,25,132,50
122,25,213,5
132,26,132,50
146,27,194,5
152,27,263,5
166,28,194,5
168,28,214,5
174,28,263,5
196,35,81,5
208,35,131,50
234,36,81,5
246,36,131,50
264,37,129,100
270,37,226,5
284,38,129,100
290,38,226,5
294,39,81,5
296,39,132,50
300,40,81,5
302,40,132,50
308,43,588,5
314,44,588,5
320,45,588,5
418,49,199,5
436,49,272,5
453,50,214,5
470,51,214,5
490,52,194,5
507,53,194,5
516,56,170,5
525,57,170,5
539,58,129,50
553,59,129,50
573,61,198,5
593,62,198,5
615,63,225,5
637,64,225,5
659,65,225,5
665,66,207,5
673,67,207,5
681,68,207,5
698,72,222,5
715,73,222,5
757,75,215,5
779,76,215,5
788,77,168,5
797,78,168,5
800,79,198,5
817,79,256,5
837,80,198,5
857,81,210,5
877,82,210,5
880,82,219,5
923,84,221,5
945,85,221,5
947,86,130,50
948,86,220,100
950,87,130,50
952,87,223,5
972,88,258,5
984,89,249,1
994,89,258,50
1084,93,224,5
1086,94,224,5
1088,95,215,5
1089,100,219,100
1093,102,899,5
1139,106,218,100
1156,108,256,5
1201,113,110,50
1233,114,216,100
1253,116,212,5
1273,117,212,5
1279,118,220,5
1285,119,220,5
1383,122,131,5
1395,124,130,100
1404,125,299,5
1407,126,129,100
1416,126,300,5
1424,131,220,5
1465,143,127,100
1485,143,211,5
1506,147,212,5
1526,148,212,5
1528,148,227,5
1548,149,212,5
1550,149,227,5
1570,151,134,5
1572,152,134,100
1573,153,216,100
1574,156,226,100
1575,159,220,100
1589,161,132,5
1603,162,132,50
1617,162,135,5
1639,170,204,5
1661,171,204,5
1671,172,132,50
1693,173,81,5
1705,173,131,50
1711,174,132,50
1717,182,588,5
1718,185,215,100
1740,186,198,5
1747,191,169,5
1764,193,242,5
1786,199,198,5
1791,200,224,5
1806,203,133,5
1828,208,210,5
1845,211,222,5
1868,213,132,100
1888,215,194,5
1899,215,263,50
1901,216,132,50
1903,216,135,5
1905,217,132,50
1907,217,135,5
1909,220,130,50
1910,220,223,100
1912,221,130,50
1913,221,214,100
1915,221,223,5
1931,222,215,5
1937,222,688,5
1938,225,223,100
1944,227,210,5
1946,227,221,5
1969,230,212,5
1978,231,162,5
1987,232,162,5
1989,233,229,100
1990,237,218,100
2002,238,130,100
2011,239,299,5
2014,240,129,100
2023,240,300,5
2050,242,110,50
2113,251,134,5
2127,261,128,5
2141,262,128,5
2167,263,132,5
2193,264,132,50
2207,264,135,5
2213,265,128,50
2219,265,190,5
2224,267,199,5
2241,267,272,5
2246,269,199,5
2263,269,272,5
2269,270,196,5
2275,271,196,5
2281,272,196,5
2287,273,248,5
2293,274,248,5
2299,275,248,5
2308,276,172,5
2317,277,172,5
2323,278,612,50
2331,279,612,50
2332,280,225,100
2360,284,199,5
2381,285,167,5
2402,286,167,5
2408,290,214,5
2422,293,127,5
2436,294,127,5
2450,295,127,5
2456,296,218,5
2478,297,198,5
2491,299,215,5
2495,299,219,5
2497,300,128,50
2509,300,131,5
2511,301,128,50
2523,301,131,5
2529,302,242,5
2538,303,161,5
2544,303,255,5
2566,304,215,5
2588,305,215,5
2610,306,215,5
2611,307,225,100
2617,311,589,5
2623,312,589,5
2629,313,190,5
2635,314,190,5
2657,315,222,5
2659,315,588,1
2681,316,132,50
2687,316,135,5
2709,317,132,50
2715,317,135,5
2732,318,203,5
2733,318,217,100
2750,319,203,5
2764,322,129,100
2765,322,226,100
2779,323,129,100
2787,324,226,5
2789,325,133,50
2796,325,171,5
2798,326,133,50
2805,326,171,5
2819,327,127,5
2841,328,214,5
2842,329,227,100
2847,331,222,5
2864,331,265,5
2869,332,222,5
2886,332,265,5
