id,creature_id,skill_id,learn_method_id,level_learned_at
6,1,14,3,0
18,1,14,4,0
37,1,15,4,0
42,1,20,3,0
65,1,22,1,3
70,1,29,3,0
71,1,29,4,0
93,1,33,1,1
99,1,34,3,0
102,1,34,4,0
119,1,36,1,21
120,1,36,4,0
126,1,38,3,0
139,1,38,1,33
140,1,38,4,0
164,1,45,1,1
179,1,70,4,0
182,1,72,4,0
205,1,73,1,9
229,1,74,1,6
253,1,75,1,12
288,1,76,1,36
289,1,76,4,0
315,1,77,1,15
339,1,79,1,15
358,1,80,2,0
359,1,81,3,0
381,1,92,2,0
382,1,92,4,0
390,1,102,4,0
392,1,102,3,0
414,1,104,4,0
418,1,111,4,0
419,1,111,3,0
427,1,113,2,0
436,1,113,4,0
439,1,115,4,0
453,1,124,2,0
479,1,133,4,0
480,1,133,2,0
517,1,156,4,0
523,1,164,3,0
537,1,164,4,0
547,1,173,3,0
548,1,173,4,0
565,1,174,2,0
566,1,174,4,0
586,1,182,4,0
604,1,188,4,0
606,1,189,4,0
609,1,189,3,0
610,1,200,4,0
628,1,202,2,0
629,1,202,3,0
632,1,202,4,0
635,1,203,3,0
644,1,203,2,0
647,1,203,4,0
662,1,204,2,0
663,1,204,4,0
666,1,206,4,0
674,1,207,3,0
680,1,207,4,0
682,1,210,4,0
685,1,210,3,0
703,1,213,4,0
710,1,214,3,0
717,1,214,4,0
757,1,219,2,0
765,1,219,4,0
769,1,230,4,0
786,1,230,1,24
807,1,235,3,0
810,1,235,1,27
845,1,241,4,0
858,1,249,4,0
876,1,263,4,0
893,1,270,4,0
905,1,275,2,0
910,1,282,3,0
911,1,282,4,0
922,1,311,4,0
945,1,331,4,0
959,1,345,2,0
960,1,345,4,0
976,1,388,3,0
979,1,388,1,30
993,1,402,3,0
997,1,402,1,18
998,1,402,4,0
1010,1,412,4,0
1021,1,437,2,0
1022,1,437,4,0
1030,1,438,4,0
1031,1,438,2,0
1032,1,438,1,33
1047,1,447,4,0
1055,1,474,4,0
1056,1,491,4,0
1063,1,496,4,0
1069,1,497,4,0
1076,1,520,3,0
1077,1,520,4,0
1081,1,526,4,0
1087,1,580,2,0
1088,1,580,4,0
1092,1,590,4,0
1093,1,803,3,0
1094,1,803,4,0
1095,1,851,4,0
1096,1,885,4,0
1100,2,14,3,0
1112,2,14,4,0
1131,2,15,4,0
1136,2,20,3,0
1159,2,22,1,1
1164,2,29,3,0
1165,2,29,4,0
1187,2,33,1,1
1193,2,34,3,0
1196,2,34,4,0
1213,2,36,1,25
1214,2,36,4,0
1220,2,38,3,0
1233,2,38,1,45
1234,2,38,4,0
1274,2,45,1,1
1277,2,46,4,0
1290,2,70,4,0
1293,2,72,4,0
1336,2,73,1,9
1362,2,74,1,1
1386,2,75,1,12
1431,2,76,1,50
1432,2,76,4,0
1458,2,77,1,15
1482,2,79,1,15
1485,2,80,2,0
1486,2,81,3,0
1507,2,92,2,0
1508,2,92,4,0
1516,2,102,4,0
1518,2,102,3,0
1540,2,104,4,0
1544,2,111,4,0
1545,2,111,3,0
1554,2,113,4,0
1557,2,115,4,0
1564,2,133,4,0
1601,2,156,4,0
1607,2,164,3,0
1621,2,164,4,0
1631,2,173,3,0
1632,2,173,4,0
1635,2,174,2,0
1636,2,174,4,0
1656,2,182,4,0
1674,2,188,4,0
1676,2,189,4,0
1679,2,189,3,0
1680,2,200,4,0
1693,2,202,3,0
1696,2,202,4,0
1699,2,203,3,0
1705,2,203,4,0
1707,2,204,4,0
1710,2,206,4,0
1718,2,207,3,0
1724,2,207,4,0
1726,2,210,4,0
1729,2,210,3,0
1747,2,213,4,0
1754,2,214,3,0
1761,2,214,4,0
1801,2,219,4,0
1805,2,230,4,0
1822,2,230,1,30
1843,2,235,3,0
1846,2,235,1,35
1881,2,241,4,0
1894,2,249,4,0
1912,2,263,4,0
1918,2,270,4,0
1919,2,275,2,0
1924,2,282,3,0
1925,2,282,4,0
1936,2,311,4,0
1947,2,331,4,0
1949,2,345,4,0
1965,2,388,3,0
1968,2,388,1,40
1973,2,402,3,0
1977,2,402,1,20
1978,2,402,4,0
1990,2,412,4,0
1992,2,437,4,0
1993,2,438,4,0
1994,2,438,1,45
2009,2,447,4,0
2017,2,474,4,0
2018,2,491,4,0
2025,2,496,4,0
2031,2,497,4,0
2038,2,520,3,0
2039,2,520,4,0
2043,2,526,4,0
2045,2,580,4,0
2049,2,590,4,0
2050,2,803,3,0
2051,2,803,4,0
2052,2,851,4,0
2053,2,885,4,0
2057,3,14,3,0
2069,3,14,4,0
2072,3,14,12,0
2089,3,15,4,0
2094,3,20,3,0
2135,3,22,1,1
2142,3,29,3,0
2143,3,29,4,0
2165,3,33,1,1
2171,3,34,3,0
2174,3,34,4,0
2177,3,34,12,0
2192,3,36,1,25
2193,3,36,4,0
2199,3,38,3,0
2212,3,38,1,51
2213,3,38,4,0
2216,3,38,12,0
2254,3,45,1,1
2274,3,46,4,0
2275,3,46,12,0
2297,3,63,4,0
2300,3,63,12,0
2313,3,70,4,0
2316,3,72,4,0
2359,3,73,1,9
2364,3,73,12,0
2386,3,74,1,1
2389,3,74,12,0
2411,3,75,1,12
2456,3,76,1,58
2457,3,76,4,0
2462,3,76,12,0
2484,3,77,1,15
2487,3,77,12,0
2509,3,79,1,15
2512,3,79,12,0
2528,3,80,1,1
2529,3,80,2,0
2530,3,80,12,0
2531,3,81,3,0
2549,3,89,4,0
2550,3,89,12,0
2571,3,92,2,0
2572,3,92,4,0
2575,3,92,12,0
2581,3,102,4,0
2583,3,102,3,0
2605,3,104,4,0
2609,3,111,4,0
2610,3,111,3,0
2619,3,113,4,0
2620,3,113,12,0
2623,3,115,4,0
2630,3,133,1,1
2632,3,133,4,0
2633,3,133,12,0
2670,3,156,4,0
2673,3,156,12,0
2677,3,164,3,0
2691,3,164,4,0
2694,3,164,12,0
2702,3,173,3,0
2703,3,173,4,0
2704,3,173,12,0
2707,3,174,2,0
2708,3,174,4,0
2709,3,174,12,0
2729,3,182,4,0
2730,3,182,12,0
2731,3,184,4,0
2732,3,184,12,0
2750,3,188,4,0
2751,3,188,12,0
2753,3,189,4,0
2756,3,189,3,0
2761,3,200,3,0
2763,3,200,4,0
2764,3,200,12,0
2777,3,202,3,0
2780,3,202,4,0
2781,3,202,12,0
2784,3,203,3,0
2790,3,203,4,0
2791,3,203,12,0
2793,3,204,4,0
2794,3,204,12,0
2797,3,206,4,0
2805,3,207,3,0
2811,3,207,4,0
2813,3,210,4,0
2816,3,210,3,0
2834,3,213,4,0
2841,3,214,3,0
2848,3,214,4,0
2849,3,214,12,0
2889,3,219,4,0
2893,3,230,4,0
2910,3,230,1,30
2911,3,230,12,0
2932,3,235,3,0
2935,3,235,1,37
2936,3,235,12,0
2971,3,241,4,0
2972,3,241,12,0
2985,3,249,4,0
3003,3,263,4,0
3004,3,263,12,0
3010,3,270,4,0
3011,3,270,12,0
3012,3,275,2,0
3013,3,275,12,0
3018,3,282,3,0
3019,3,282,4,0
3020,3,282,12,0
3031,3,311,4,0
3032,3,311,12,0
3043,3,331,4,0
3044,3,331,12,0
3048,3,335,3,0
3060,3,338,3,0
3061,3,338,4,0
3062,3,338,12,0
3064,3,345,4,0
3080,3,388,3,0
3083,3,388,1,44
3084,3,388,12,0
3085,3,398,4,0
3086,3,398,12,0
3091,3,402,3,0
3095,3,402,1,20
3096,3,402,4,0
3097,3,402,12,0
3109,3,412,4,0
3110,3,412,12,0
3112,3,414,4,0
3113,3,414,12,0
3125,3,416,4,0
3126,3,416,12,0
3132,3,437,4,0
3133,3,437,12,0
3135,3,438,4,0
3136,3,438,1,51
3137,3,438,12,0
3152,3,447,4,0
3153,3,447,12,0
3161,3,474,4,0
3162,3,474,12,0
3163,3,482,12,0
3164,3,491,4,0
3165,3,491,12,0
3172,3,496,4,0
3173,3,496,12,0
3179,3,497,4,0
3186,3,520,3,0
3187,3,520,4,0
3196,3,523,4,0
3197,3,523,12,0
3201,3,526,4,0
3210,3,572,1,0
3211,3,572,4,0
3212,3,572,12,0
3214,3,580,4,0
3215,3,580,12,0
3219,3,590,4,0
3220,3,707,3,0
3222,3,707,4,0
3223,3,707,12,0
3224,3,803,3,0
3225,3,803,4,0
3226,3,803,12,0
3227,3,805,3,0
3228,3,805,12,0
3229,3,851,4,0
3230,3,885,4,0
3231,3,885,12,0
3235,4,5,3,0
3236,4,5,4,0
3246,4,7,3,0
3249,4,7,4,0
3254,4,9,3,0
3257,4,9,4,0
3279,4,10,1,1
3288,4,14,3,0
3293,4,14,2,0
3303,4,14,4,0
3322,4,15,4,0
3326,4,17,2,0
3330,4,25,3,0
3331,4,25,4,0
3336,4,29,3,0
3337,4,29,4,0
3341,4,34,3,0
3344,4,34,4,0
3349,4,36,4,0
3353,4,38,4,0
3355,4,38,3,0
3360,4,43,1,15
3379,4,44,2,0
3401,4,45,1,1
3404,4,46,4,0
3426,4,52,1,4
3433,4,53,3,0
3468,4,53,1,24
3469,4,53,4,0
3477,4,68,4,0
3479,4,68,3,0
3489,4,68,2,0
3495,4,69,3,0
3497,4,69,4,0
3516,4,70,4,0
3520,4,82,4,0
3537,4,82,1,22
