id,code,name,sort_order,enabled
1,walk,Walking in tall grass or a cave,1,true
2,old-rod,Fishing with an Old Rod,10,true
3,good-rod,Fishing with a Good Rod,11,true
4,super-rod,Fishing with a Super Rod,12,true
5,surf,Surfing,14,true
6,rock-smash,Smashing rocks,16,true
7,headbutt,Headbutting trees,17,true
8,dark-grass,Walking in dark grass,5,true
9,grass-spots,Walking in rustling grass,2,true
10,cave-spots,Walking in dust clouds,3,true
11,bridge-spots,Walking in bridge shadows,4,true
12,super-rod-spots,Fishing in dark spots,13,true
13,surf-spots,Surfing in dark spots,15,true
14,yellow-flowers,Walking in yellow flowers,6,true
15,purple-flowers,Walking in purple flowers,7,true
16,red-flowers,Walking in red flowers,8,true
17,rough-terrain,Walking on rough terrain,9,true
18,gift,Receive as a gift,18,true
19,gift-egg,Receive egg as a gift,19,true
20,only-one,"Static encounter, only one chance",20,true
21,pokeflute,Playing Pokéflute,21,true
22,headbutt-low,Headbutting a low encounter rate tree,22,true
23,headbutt-normal,Headbutting a normal encounter rate tree,23,true
24,headbutt-high,Headbutting a high encounter rate tree,24,true
25,squirt-bottle,Using the Squirt Bottle on a Sudowoodo,25,true
26,wailmer-pail,Using the Wailmer Pail on a Sudowoodo,26,true
27,seaweed,Diving on seaweed,27,true
28,roaming-grass,On any overworld patch of grass,28,true
29,roaming-water,On any overworld water tile,29,true
30,devon-scope,Using Devon Scope,30,true
31,feebas-tile-fishing,Fishing in a Feebas Tile,31,true
32,island-scan,island scan,32,true
33,sos-encounter,sos encounter,33,true
34,bubbling-spots,Fishing at bubbling spots in the water,34,true
35,berry-trees,berry trees,35,true
36,npc-trade,npc交换,36,true
37,sos-from-bubbling-spot,sos from bubbling spot,37,true
38,overworld,Walking in the overworld,38,true
39,overworld-water,Surfing in the overworld,39,true
40,overworld-flying,Flying Pokemon in the sky,40,true
41,overworld-special,Rare spawn in grass with lure or catch combo,41,true
42,overworld-flying-special,Rare spawn in the sky with lure or catch combo,42,true
43,overworld-water-special,Rare spawn in water with lure or catch combo,43,true
44,horde,"Encountering 5 Pokemon within grass, flowers, or within a cave",44,true
45,colosseum-bonus-disc-us,Receiving a Jirachi from the USA Colosseum Bonus Disc,45,true
46,colosseum-bonus-disc-jpn,Receiving a Celebi or Pikachu from the Japanese Colosseum Bonus Disc,46,true
47,pokemon-channel-pal,Receiving a Jirachi from the PAL copy of Pokemon channel,47,true
48,pokemon-ranger,Receiving a Manaphy from Pokemon Ranger,48,true
49,pokemon-battle-revolution,"Receiving a Pikachu, Electivire, or Magmar from Pokemon Battle Revolution",49,true
50,new-york-pokecenter-wish-eggs,Receiving an egg from the Pokemon center in New York City that contains the special move Wish.,50,true
51,snag,Snagging a Pokemon from a trainer in Pokemon Colosseum or Pokemon XD: Gale of Darkness.,51,true
52,snag-rematch,"Snagging a Pokemon from a trainer in Pokemon Colosseum or Pokemon XD: Gale of Darkness, after you have failed to capture them once.",52,true
53,pokespot,Finding a Wild Pokemon at any of the three Pokespots in Pokemon XD: Gale of Darkness.,53,true
54,hidden-grotto,Finding a Pokemon in a Hidden Grotto,54,true
55,honey-tree,Slathering a Honey Tree with Honey and waiting for a Pokémon to appear.,54,true
