id,code,name,enabled
1,level-up,Level up,true
2,trade,Trade or Linking Cord,true
3,use-item,Use item,true
4,shed,Shed,true
5,spin,Spin,true
6,tower-of-darkness,Train in the Tower of Darkness,true
7,tower-of-waters,Train in the Tower of Waters,true
8,three-critical-hits,Land three critical hits in a battle,true
9,take-damage,Go somewhere after taking damage,true
10,other,Other,true
11,agile-style-move,Use move in agile style,true
12,strong-style-move,Use move in strong style,true
13,recoil-damage,Take recoil damage,true
14,use-move,Use move,true
15,three-defeated-bisharp,Defeat three Bisharp that hold a Leader's Crest,true
16,gimmighoul-coins,Collect 999 Gimmighoul Coins,true
