id,gender_id,species_id,rate
1,1,1,1
2,1,4,1
3,1,7,1
4,1,10,4
5,1,13,4
6,1,16,4
7,1,19,4
8,1,21,4
9,1,23,4
10,1,27,4
11,1,29,8
12,1,37,6
13,1,41,4
14,1,43,4
15,1,46,4
16,1,48,4
17,1,50,4
18,1,52,4
19,1,54,4
20,1,56,4
21,1,58,2
22,1,60,4
23,1,63,2
24,1,66,2
25,1,69,4
26,1,72,4
27,1,74,4
28,1,3,1
29,1,5,1
30,1,6,1
31,1,8,1
32,1,9,1
33,1,11,4
34,1,12,4
35,1,14,4
36,1,15,4
37,1,17,4
38,1,18,4
39,1,20,4
40,1,22,4
41,1,24,4
42,1,25,4
43,1,26,4
44,1,28,4
45,1,30,8
46,1,31,8
47,1,35,6
48,1,36,6
49,1,38,6
50,1,39,6
51,1,40,6
52,1,42,4
53,1,44,4
54,1,45,4
55,1,47,4
56,1,49,4
57,1,51,4
58,1,53,4
59,1,55,4
60,1,57,4
61,1,59,2
62,1,61,4
63,1,62,4
64,1,64,2
65,1,65,2
66,1,67,2
67,1,68,2
68,1,70,4
69,1,71,4
70,1,73,4
71,1,75,4
72,1,77,4
73,1,79,4
74,1,83,4
75,1,84,4
76,1,86,4
77,1,88,4
78,1,90,4
79,1,92,4
80,1,95,4
81,1,96,4
82,1,98,4
83,1,102,4
84,1,104,4
85,1,108,4
86,1,109,4
87,1,111,4
88,1,114,4
89,1,115,8
90,1,116,4
91,1,118,4
92,1,123,4
93,1,127,4
94,1,129,4
95,1,131,4
96,1,133,1
97,1,138,1
98,1,140,1
99,1,142,1
100,1,147,4
101,1,78,4
102,1,80,4
103,1,85,4
104,1,87,4
105,1,89,4
106,1,91,4
107,1,93,4
108,1,94,4
109,1,97,4
110,1,99,4
111,1,103,4
112,1,105,4
113,1,110,4
114,1,112,4
115,1,113,8
116,1,117,4
117,1,119,4
118,1,122,4
119,1,124,8
120,1,125,2
121,1,126,2
122,1,130,4
123,1,134,1
124,1,135,1
125,1,136,1
126,1,139,1
127,1,141,1
128,1,143,1
129,1,148,4
130,1,149,4
131,1,152,1
132,1,155,1
133,1,158,1
134,1,161,4
135,1,163,4
136,1,165,4
137,1,167,4
138,1,170,4
139,1,172,4
140,1,173,6
141,1,174,6
142,1,175,1
143,1,177,4
144,1,179,4
145,1,187,4
146,1,190,4
147,1,191,4
148,1,193,4
149,1,194,4
150,1,198,4
151,1,200,4
152,1,203,4
153,1,204,4
154,1,206,4
155,1,207,4
156,1,209,6
157,1,211,4
158,1,213,4
159,1,214,4
160,1,215,4
161,1,216,4
162,1,218,4
163,1,220,4
164,1,222,6
165,1,223,4
166,1,225,4
167,1,154,1
168,1,156,1
169,1,157,1
170,1,159,1
171,1,160,1
172,1,162,4
173,1,164,4
174,1,166,4
175,1,168,4
176,1,169,4
177,1,171,4
178,1,176,1
179,1,178,4
180,1,180,4
181,1,181,4
182,1,182,4
183,1,183,4
184,1,184,4
185,1,185,4
186,1,186,4
187,1,188,4
188,1,189,4
189,1,192,4
190,1,195,4
191,1,196,1
192,1,197,1
193,1,199,4
194,1,202,4
195,1,205,4
196,1,208,4
197,1,210,6
198,1,212,4
