id,item_id,attribute_id
1,1,1
2,1,2
3,1,4
4,1,5
5,2,1
6,2,2
7,2,4
8,2,5
9,3,1
10,3,2
11,3,4
12,3,5
13,4,1
14,4,2
15,4,4
16,4,5
17,5,1
18,5,2
19,5,4
20,5,5
21,6,1
22,6,2
23,6,4
24,6,5
25,7,1
26,7,2
27,7,4
28,7,5
29,8,1
30,8,2
31,8,4
32,8,5
33,9,1
34,9,2
35,9,4
36,9,5
37,10,1
38,10,2
39,10,4
40,10,5
41,11,1
42,11,2
43,11,4
44,11,5
45,12,1
46,12,2
47,12,4
48,12,5
49,13,1
50,13,2
51,13,4
52,13,5
53,14,1
54,14,2
55,14,4
56,14,5
57,15,1
58,15,2
59,15,4
60,15,5
324,80,8
325,81,8
326,82,8
327,83,8
328,84,8
329,85,8
339,106,8
340,110,8
342,112,5
343,113,5
344,126,7
345,127,7
346,128,7
347,129,7
348,130,7
349,131,7
350,132,7
351,133,7
352,134,7
353,135,7
354,136,7
355,137,7
356,138,7
357,139,7
358,140,7
359,161,7
360,162,7
361,163,7
362,164,7
363,165,7
364,166,7
365,167,7
366,168,7
367,169,7
368,170,7
369,171,7
370,172,7
371,173,7
372,174,7
373,175,7
374,176,7
375,177,7
376,178,7
377,179,7
378,180,7
379,181,7
380,182,7
381,183,7
382,184,7
383,185,7
384,186,7
385,187,7
386,188,7
387,189,7
388,190,5
389,190,7
390,191,5
391,191,7
396,194,5
397,194,7
400,196,5
401,196,7
402,197,5
403,197,7
404,198,5
405,198,7
406,199,5
407,199,7
411,202,5
412,203,5
413,204,5
419,207,5
420,207,7
423,209,5
424,209,7
425,210,5
426,210,7
427,211,5
428,211,7
429,213,5
430,214,5
431,214,7
432,215,5
433,215,7
434,215,8
435,216,5
436,216,7
437,217,5
438,217,7
439,218,5
440,218,7
441,219,5
442,219,7
443,220,5
444,220,7
445,221,5
446,221,7
447,222,5
448,222,7
449,223,5
450,223,7
451,224,5
452,224,7
453,225,5
454,225,7
455,226,5
456,226,7
457,227,5
458,227,7
459,228,5
460,228,7
461,230,5
462,230,7
476,242,5
477,242,7
478,243,5
479,243,7
480,244,5
481,244,7
482,245,5
483,245,7
484,246,5
485,246,7
486,246,8
487,247,5
488,247,7
489,248,5
490,248,7
491,249,5
492,249,7
493,250,5
494,250,7
496,252,5
497,252,7
498,253,5
499,253,7
500,254,5
501,254,7
502,255,5
503,255,7
504,255,8
505,256,5
506,256,7
507,257,5
508,257,7
509,258,5
510,258,7
511,259,5
512,259,7
513,259,8
514,260,5
515,260,7
516,260,8
517,261,5
518,261,7
519,261,8
520,262,5
521,262,7
522,262,8
523,263,5
524,263,7
525,264,5
526,264,7
527,265,5
528,265,7
529,266,5
530,266,7
531,267,5
532,267,7
533,268,5
534,268,7
535,269,5
536,269,7
537,270,5
538,270,7
539,271,5
540,271,7
541,272,5
542,272,7
543,273,5
544,273,7
545,274,5
546,274,7
547,275,5
548,275,7
549,275,8
550,276,5
551,276,7
552,276,8
553,277,5
554,277,7
555,277,8
556,278,5
557,278,7
558,278,8
559,279,5
560,279,7
561,279,8
562,280,5
563,280,7
564,280,8
565,281,5
566,281,7
567,281,8
568,282,5
569,282,7
570,282,8
571,283,5
572,283,7
573,283,8
574,284,5
575,284,7
576,284,8
577,285,5
578,285,7
579,285,8
580,286,5
581,286,7
582,286,8
583,287,5
584,287,7
585,287,8
586,288,5
587,288,7
588,288,8
589,289,5
590,289,7
591,289,8
592,290,5
593,290,7
594,290,8
608,303,5
609,303,7
610,304,5
611,304,7
