id,item_id,fling_effect_id,effect,short_effect,flavor_text
1,1,,用于战斗：成功捕捉野生精灵。如果在训练师对战中使用，则不会产生效果并会消耗。,每次都能捕获野生精灵。,必定能捉到野生精灵的， 性能最好的球。
2,2,,用于战斗：尝试捕捉野生精灵，捕捉率为2×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。成功率是2×。,比起超级球来 更容易捉到精灵的， 性能非常不错的球。
3,3,,用于战斗：尝试捕捉野生精灵，捕捉率为1.5×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。成功率是1.5倍。,比起精灵球来 更容易捉到精灵的， 性能还算不错的球。
4,4,,用于战斗：尝试捕捉野生精灵，捕捉率为1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。,用于投向野生精灵 并将其捕捉的球。 它是胶囊样式的。
5,5,,用于战斗：尝试捕捉野生精灵，捕捉率为1.5×。该物品只能在大沼泽或狩猎地带使用。,尝试在大沼泽或狩猎地带捕捉野生精灵。成功率是1.5倍。,曾在关都地区的狩猎地带 以及神奥地区的大湿地被使用。 是一种特殊的球。
6,6,,用于战斗：尝试捕捉野生精灵。如果野生精灵是水属性或虫属性，则该球的捕获率为 3 倍。否则，它的捕获率为 1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。水属性精灵和虫系精灵的成功率为 3 倍。,有点与众不同的球。 能很容易地捕捉 水属性和虫属性的精灵。
7,7,,用于战斗：尝试捕捉野生精灵。如果冲浪或钓鱼时遇到野生精灵，该球的捕获率为3.5倍。否则，它的捕获率为 1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。水下、钓鱼或冲浪时成功率为 3.5 倍。,有点与众不同的球。 能很容易地捕捉 生活在水世界里的精灵。
8,8,,用于战斗：尝试捕捉野生精灵。捕获率为“(40 - 等级)/10”，其中“等级”是野生精灵的等级，对于 1 级精灵来说，捕获率最高为 3.9 倍。如果野生精灵等级高于30级，该球的捕获率为1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。 1级精灵的成功率为3.9倍，30级时稳定下降至1倍。,有点与众不同的球。 捕捉的野生精灵越弱， 就会越容易捕捉。
9,9,,用于战斗：尝试捕捉野生精灵。如果野生精灵的种类在训练家的图鉴中被标记为已捕获，则该球的捕获率为 3 倍。否则，它的捕获率为 1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。之前捕获的精灵的成功率为 3 倍。,有点与众不同的球。 能很容易地捕捉 以前曾捉到过的精灵。
10,10,,用于战斗：尝试捕捉野生精灵。战斗第一回合的捕获率为 1.1 倍，每回合增加 0.1 倍，第 30 回合最大为 4 倍。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。每回合成功率增加0.1倍（第五代：0.3倍），最大4倍。,有点与众不同的球。 回合数花费得越多， 精灵就会越容易捕捉。
11,11,,用于战斗：尝试捕捉野生精灵，捕捉率为1×。每当捕获的精灵的幸福度增加时，它就会额外增加1点。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。捕获的精灵开始时有 200 点幸福感。,舒适宜居的球。 捉到的野生精灵会 变得非常容易和训练家亲密。
12,12,,用于战斗：尝试捕捉野生精灵，捕捉率为1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。,有点珍贵的球。 特制出来的某种纪念品。
13,13,,用于战斗：尝试捕捉野生精灵。如果现在是夜间或者在洞穴中行走时遇到野生精灵，该球的捕获率为3.5倍。否则，它的捕获率为 1×。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。夜间和洞穴中的成功率为 3.5 倍。,有点与众不同的球。 能很容易地在夜晚或洞窟等 阴暗的地方捕捉精灵。
14,14,,用于战斗：尝试捕捉野生精灵，捕捉率为1×。捕捉到的精灵的ＨＰ会立即恢复，所有技能的ＰＰ都会恢复，并且所有异常状态都会被治愈。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。捕获的精灵会立即痊愈。,有点温柔的球。 能回复捉到的精灵的 ＨＰ并治愈异常状态。
