id,area_id,creature_id,method_id,min_level,max_level,chance,max_chance
3,1,72,5,20,30,60,60
7,1,73,5,20,40,4,9
9,1,120,4,20,40,15,15
10,1,120,4,20,50,15,15
25,1,129,2,4,6,60,155
26,1,129,2,3,7,30,155
28,1,129,2,5,10,4,155
29,1,129,2,5,15,1,155
30,1,129,3,15,20,40,155
31,1,129,3,10,25,15,155
33,1,130,4,30,40,40,40
34,1,130,4,30,55,40,40
36,1,278,5,20,30,30,30
40,1,279,5,20,40,1,5
41,1,422,5,20,30,30,30
42,1,423,5,20,40,1,1
49,1,456,3,15,20,40,45
51,1,456,3,10,25,1,45
57,1,457,4,20,50,1,45
58,1,457,4,30,40,40,45
60,1,457,4,40,55,1,45
64,2,54,5,20,40,30,90
66,2,54,5,20,30,30,90
71,2,55,5,30,40,4,10
75,2,55,5,20,40,1,10
90,2,129,2,4,6,60,155
91,2,129,2,3,7,30,155
93,2,129,2,5,10,4,155
94,2,129,2,5,15,1,155
95,2,129,3,15,20,40,155
96,2,129,3,10,25,15,155
101,2,130,4,30,40,40,55
102,2,130,4,40,55,15,55
109,2,339,3,15,20,40,45
111,2,339,3,10,25,1,45
117,2,340,4,20,50,1,45
118,2,340,4,30,40,40,45
120,2,340,4,40,55,1,45
123,3,72,5,20,30,60,60
126,3,73,5,20,40,5,5
141,3,129,2,4,6,60,155
142,3,129,2,3,7,30,155
144,3,129,2,5,10,4,155
145,3,129,2,5,15,1,155
146,3,129,3,15,20,40,155
147,3,129,3,10,25,15,155
152,3,130,4,30,40,40,55
153,3,130,4,40,55,15,55
160,3,223,3,15,20,40,45
162,3,223,3,10,25,1,45
168,3,224,4,20,50,1,45
169,3,224,4,30,40,40,45
171,3,224,4,40,55,1,45
174,3,278,5,20,30,4,4
178,3,279,5,20,40,1,5
179,3,422,5,20,30,30,30
180,3,423,5,20,40,1,1
181,4,72,5,30,40,60,60
183,4,73,5,35,45,60,60
185,4,73,5,30,50,4,9
187,4,120,4,20,40,15,15
188,4,120,4,20,50,15,15
203,4,129,2,4,6,60,155
204,4,129,2,3,7,30,155
206,4,129,2,5,10,4,155
207,4,129,2,5,15,1,155
208,4,129,3,15,20,40,155
209,4,129,3,10,25,15,155
211,4,130,4,30,40,40,40
212,4,130,4,30,55,40,40
219,4,223,3,15,20,40,45
221,4,223,3,10,25,1,45
227,4,224,4,20,50,1,45
228,4,224,4,30,40,40,45
230,4,224,4,40,55,1,45
231,4,278,5,30,40,30,30
233,4,279,5,35,45,30,30
234,4,279,5,30,50,1,1
239,4,458,5,30,40,4,10
240,4,458,5,35,45,1,10
244,5,73,5,35,40,30,35
246,5,73,5,40,45,1,35
248,5,73,5,30,50,1,5
263,5,129,2,4,6,60,155
264,5,129,2,3,7,30,155
266,5,129,2,5,10,4,155
267,5,129,2,5,15,1,155
268,5,129,3,15,20,40,155
269,5,129,3,10,25,15,155
271,5,130,4,30,40,40,40
272,5,130,4,30,55,40,40
279,5,223,3,15,20,40,45
281,5,223,3,10,25,1,45
287,5,224,4,20,50,1,45
288,5,224,4,30,40,40,45
290,5,224,4,40,55,1,45
291,5,278,5,30,40,60,60
294,5,279,5,35,40,60,65
295,5,279,5,40,45,5,65
297,5,279,5,30,50,5,35
300,5,370,4,20,30,15,15
305,6,41,1,5,5,10,25
306,6,41,1,6,6,10,25
308,6,41,1,7,7,1,25
322,6,74,1,9,9,4,70
325,6,74,1,5,5,20,86
326,6,74,1,6,6,20,86
327,6,74,1,4,4,10,86
335,6,74,1,8,8,1,86
336,6,74,1,7,7,1,86
341,6,95,1,6,6,5,10
342,6,95,1,8,8,5,10
347,7,41,1,6,6,10,25
348,7,41,1,7,7,10,25
350,7,41,1,8,8,1,25
364,7,74,1,10,10,4,70
367,7,74,1,6,6,20,86
368,7,74,1,7,7,20,86
369,7,74,1,5,5,10,86
377,7,74,1,9,9,1,86
378,7,74,1,8,8,1,86
383,7,95,1,7,7,5,10
384,7,95,1,9,9,5,10
387,8,72,5,20,30,30,30
390,8,73,5,20,40,1,1
392,8,90,4,20,40,15,15
393,8,90,4,20,50,15,15
408,8,129,2,4,6,60,155
409,8,129,2,3,7,30,155
411,8,129,2,5,10,4,155
412,8,129,2,5,15,1,155
413,8,129,3,15,20,40,155
414,8,129,3,10,25,15,155
416,8,130,4,30,40,40,40
417,8,130,4,30,55,40,40
422,8,179,1,8,8,10,22
423,8,179,1,7,7,10,22
425,8,179,1,9,9,1,22
426,8,179,1,10,10,10,22
428,8,179,1,11,11,1,22
429,8,179,1,12,12,1,22
437,8,190,55,5,15,5,25
440,8,214,55,5,15,5,5
444,8,239,1,9,9,4,8
449,8,265,55,5,15,20,20
450,8,266,55,5,15,20,20
451,8,268,55,5,15,20,20
453,8,278,5,20,30,30,30
457,8,279,5,20,40,1,5
461,8,309,1,7,7,20,40
462,8,309,1,9,9,20,40
463,8,309,1,10,10,20,40
465,8,399,1,8,8,10,10
466,8,403,1,10,10,20,20
472,8,412,55,5,15,40,60
478,8,415,55,5,15,20,60
481,8,417,1,7,7,20,25
482,8,417,1,8,8,5,25
483,8,417,1,9,9,5,10
484,8,417,1,11,11,5,10
493,8,418,1,7,7,20,51
494,8,418,1,8,8,10,51
501,8,418,1,9,9,10,25
502,8,418,1,10,10,10,25
504,8,418,1,11,11,1,25
510,8,420,55,5,15,20,30
520,8,422,1,8,8,10,46
521,8,422,1,7,7,10,46
529,8,422,1,9,9,20,105
530,8,422,1,10,10,10,105
531,8,422,1,11,11,10,105
533,8,422,1,12,12,1,105
534,8,422,5,20,30,60,105
536,8,423,5,20,40,4,9
538,8,425,20,22,22,100,100
539,8,425,20,15,15,100,100
542,8,446,55,5,15,100,100
549,8,456,3,15,20,40,45
551,8,456,3,10,25,1,45
557,8,457,4,30,50,1,45
558,8,457,4,30,40,40,45
560,8,457,4,40,55,1,45
561,9,10,1,13,13,4,4
565,9,11,1,12,12,4,8
566,9,11,1,13,13,4,4
567,9,13,1,13,13,4,4
571,9,14,1,12,12,4,8
572,9,14,1,13,13,4,4
574,9,92,1,13,13,4,8
575,9,163,1,12,12,10,10
583,9,190,55,5,15,5,25
584,9,198,1,11,11,10,20
585,9,198,1,10,10,10,20
586,9,200,1,11,11,10,20
587,9,200,1,10,10,10,20
591,9,204,1,12,12,4,8
593,9,204,1,13,13,4,8
596,9,214,55,5,15,5,5
604,9,265,1,11,11,10,85
608,9,265,1,10,10,10,40
609,9,265,55,5,15,20,40
610,9,266,1,10,10,20,40
611,9,266,55,5,15,20,40
612,9,266,1,12,12,5,5
614,9,267,1,12,12,1,2
615,9,267,1,14,14,1,1
616,9,268,1,10,10,20,40
617,9,268,55,5,15,20,40
618,9,268,1,12,12,5,5
620,9,269,1,12,12,1,2
621,9,269,1,14,14,1,1
625,9,273,1,12,12,4,8
627,9,273,1,13,13,4,8
632,9,287,1,11,11,20,40
633,9,287,1,10,10,20,40
638,9,290,1,10,10,10,22
642,9,290,1,11,11,10,22
643,9,290,1,12,12,10,22
645,9,290,1,14,14,1,22
646,9,399,1,12,12,10,10
647,9,401,1,10,10,10,20
648,9,401,1,12,12,10,20
661,9,406,1,10,10,20,40
662,9,406,1,12,12,10,40
663,9,406,1,11,11,10,40
669,9,412,55,5,15,40,60
675,9,415,55,5,15,20,60
681,9,420,55,5,15,20,30
686,9,427,1,10,10,10,23
689,9,427,1,12,12,4,23
690,9,427,1,11,11,20,28
692,9,427,1,13,13,4,28
695,9,446,55,5,15,100,100
698,10,72,5,20,30,60,60
702,10,73,5,20,40,4,9
707,10,81,1,29,29,20,30
708,10,81,1,28,28,5,30
709,10,81,1,30,30,5,30
711,10,90,4,20,40,15,15
712,10,90,4,20,50,15,15
713,10,126,1,28,28,20,40
715,10,126,1,29,29,10,40
730,10,129,2,4,6,60,155
731,10,129,2,3,7,30,155
733,10,129,2,5,10,4,155
734,10,129,2,5,15,1,155
735,10,129,3,15,20,40,155
736,10,129,3,10,25,15,155
738,10,130,4,30,40,40,40
739,10,130,4,30,55,40,40
741,10,187,1,29,29,10,20
743,10,188,1,30,30,1,2
751,10,190,55,5,15,5,25
754,10,214,55,5,15,5,5
759,10,265,55,5,15,20,20
760,10,266,55,5,15,20,20
761,10,268,55,5,15,20,20
764,10,278,1,29,29,10,40
765,10,278,5,20,30,30,40
769,10,279,5,20,40,1,5
771,10,304,1,29,29,10,22
775,10,304,1,30,30,10,22
777,10,304,1,31,31,1,22
779,10,403,1,28,28,10,10
781,10,404,1,29,29,10,10
787,10,412,55,5,15,40,60
793,10,415,55,5,15,20,60
797,10,417,1,29,29,5,10
804,10,419,1,29,29,10,25
805,10,419,1,30,30,10,25
807,10,419,1,31,31,1,25
813,10,420,55,5,15,20,30
815,10,422,1,28,28,20,20
816,10,422,5,20,30,30,30
823,10,423,1,29,29,10,26
824,10,423,1,30,30,10,26
826,10,423,1,31,31,1,26
827,10,423,5,20,40,1,26
830,10,446,55,5,15,100,100
837,10,456,3,15,20,40,45
839,10,456,3,10,25,1,45
845,10,457,4,20,50,1,45
846,10,457,4,30,40,40,45
848,10,457,4,40,55,1,45
850,11,35,1,17,17,10,20
857,11,41,1,14,14,10,120
858,11,41,1,15,15,10,120
860,11,41,5,20,40,30,120
861,11,41,1,18,18,10,105
863,11,41,1,19,19,1,105
865,11,41,5,20,30,30,105
870,11,42,5,30,40,4,10
874,11,42,5,20,40,1,10
878,11,66,1,15,15,20,25
880,11,66,1,16,16,1,25
881,11,66,1,20,20,10,10
885,11,74,1,15,15,20,40
887,11,74,1,14,14,10,40
888,11,74,1,19,19,20,30
889,11,74,1,17,17,10,30
904,11,129,2,4,6,60,155
905,11,129,2,3,7,30,155
907,11,129,2,5,10,4,155
908,11,129,2,5,15,1,155
909,11,129,3,15,20,40,155
910,11,129,3,10,25,15,155
913,11,130,4,30,40,40,55
914,11,130,4,40,55,15,55
915,11,130,4,30,55,40,55
916,11,130,4,20,55,15,55
924,11,173,1,14,14,1,25
925,11,299,1,18,18,5,5
927,11,307,1,15,15,10,10
929,11,307,1,18,18,10,30
930,11,307,1,20,20,10,30
937,11,339,3,15,20,40,45
939,11,339,3,10,25,1,45
945,11,340,4,20,50,1,45
946,11,340,4,30,40,40,45
948,11,340,4,40,55,1,45
952,11,433,1,15,15,5,10
953,11,433,1,17,17,5,10
955,11,433,1,19,19,1,10
956,11,436,1,18,18,20,20
967,12,35,1,37,37,4,27
968,12,35,1,38,38,1,27
970,12,35,1,36,36,10,20
973,12,42,1,37,37,10,27
978,12,42,1,38,38,1,27
980,12,67,1,37,37,10,10
981,12,67,1,39,39,10,10
984,12,75,1,38,38,20,30
985,12,75,1,36,36,10,30
986,12,299,1,37,37,5,5
990,12,308,1,37,37,10,30
991,12,308,1,39,39,10,30
994,12,337,1,36,36,4,8
995,12,337,1,37,37,4,8
997,12,337,1,38,38,4,8
1000,12,338,1,36,36,4,8
1001,12,338,1,37,37,4,8
1003,12,338,1,38,38,4,8
1006,12,433,1,37,37,5,10
1008,12,433,1,36,36,5,22
1013,12,433,1,38,38,1,22
1023,12,436,1,36,36,1,17
1025,12,437,1,38,38,20,20
1026,12,437,1,37,37,20,20
1037,13,35,1,37,37,4,27
1038,13,35,1,38,38,1,27
1040,13,35,1,36,36,10,20
1043,13,42,1,37,37,10,26
1047,13,42,1,38,38,4,26
1049,13,67,1,37,37,10,10
1050,13,67,1,39,39,10,10
1053,13,75,1,38,38,20,30
1054,13,75,1,36,36,10,30
1055,13,299,1,37,37,5,5
1059,13,308,1,37,37,10,31
1060,13,308,1,39,39,10,31
1061,13,308,1,38,38,1,31
1064,13,337,1,36,36,4,8
1065,13,337,1,37,37,4,8
1067,13,337,1,38,38,4,8
1070,13,338,1,36,36,4,8
1071,13,338,1,37,37,4,8
1073,13,338,1,38,38,4,8
1076,13,433,1,37,37,5,10
1078,13,433,1,36,36,5,22
1083,13,433,1,38,38,1,22
1093,13,436,1,36,36,1,17
1095,13,437,1,38,38,20,20
1096,13,437,1,37,37,20,20
1105,14,35,1,38,38,4,17
1106,14,35,1,39,39,1,17
1108,14,42,1,39,39,10,10
1109,14,42,1,38,38,10,10
1114,14,67,1,39,39,10,30
1116,14,67,1,40,40,10,10
1119,14,164,1,39,39,10,10
1130,14,294,1,40,40,1,22
1131,14,294,1,39,39,1,22
1132,14,299,1,38,38,5,5
1137,14,308,1,39,39,10,30
1140,14,308,1,38,38,10,30
1141,14,308,1,40,40,10,30
1146,14,337,1,38,38,4,8
1147,14,337,1,39,39,4,8
1152,14,338,1,38,38,4,8
1153,14,338,1,39,39,4,8
1157,14,359,1,38,38,4,17
1158,14,359,1,40,40,1,17
1162,14,433,1,40,40,5,10
1163,14,433,1,37,37,5,22
1168,14,433,1,39,39,1,22
1177,14,437,1,39,39,4,17
1178,14,437,1,40,40,1,17
1180,14,459,1,38,38,20,20
1181,14,459,1,36,36,20,20
1183,14,460,1,40,40,20,20
1184,14,460,1,38,38,20,40
1186,14,460,1,39,39,10,40
1195,15,35,1,38,38,4,17
1196,15,35,1,39,39,1,17
1198,15,42,1,39,39,10,10
1199,15,42,1,38,38,10,10
1204,15,67,1,39,39,10,30
1206,15,67,1,40,40,10,10
1209,15,164,1,39,39,10,10
1220,15,294,1,40,40,1,22
1221,15,294,1,39,39,1,22
1222,15,299,1,38,38,5,5
1227,15,308,1,39,39,10,30
1230,15,308,1,38,38,10,30
1231,15,308,1,40,40,10,30
1236,15,337,1,38,38,4,8
1237,15,337,1,39,39,4,8
1242,15,338,1,38,38,4,8
1243,15,338,1,39,39,4,8
1247,15,359,1,38,38,4,17
1248,15,359,1,40,40,1,17
1252,15,433,1,40,40,5,10
1253,15,433,1,37,37,5,22
1258,15,433,1,39,39,1,22
1267,15,437,1,39,39,4,17
1268,15,437,1,40,40,1,17
1270,15,459,1,38,38,20,20
1271,15,459,1,36,36,20,20
1273,15,460,1,40,40,20,20
1274,15,460,1,38,38,20,40
1276,15,460,1,39,39,10,40
