id,encounter_id,condition_value_id
1,307,8
2,308,7
3,330,9
4,331,10
5,332,11
6,333,12
7,334,13
8,336,6
9,349,8
10,350,7
11,372,9
12,373,10
13,374,11
14,375,12
15,376,13
16,378,6
17,418,6
18,419,6
19,420,6
20,421,6
21,422,6
22,423,6
23,424,6
24,425,6
25,426,6
26,427,6
27,428,6
28,429,6
29,430,189
30,431,190
31,432,189
32,433,190
33,434,189
34,435,189
35,436,190
36,437,190
37,438,190
38,439,190
39,440,190
40,441,12
41,442,12
42,443,12
43,444,12
44,445,189
45,446,190
46,447,189
47,448,190
48,449,189
49,450,189
50,451,189
51,458,1
52,459,1
53,460,1
54,461,1
55,462,1
56,463,1
57,464,7
58,465,7
59,466,2
60,467,189
61,468,190
62,469,189
63,470,190
64,471,189
65,472,190
66,473,189
67,474,190
68,475,189
69,476,190
70,477,189
71,478,190
72,479,2
73,481,2
74,485,2
75,487,8
76,488,9
77,489,10
78,490,11
79,491,13
80,492,7
81,493,2
82,495,8
83,496,9
84,497,10
85,498,11
86,499,13
87,500,7
88,502,7
89,504,7
90,505,189
91,506,190
92,507,189
93,508,190
94,509,189
95,510,190
96,512,7
97,514,8
98,515,9
99,516,10
100,517,11
101,518,13
102,519,7
103,521,7
104,523,8
105,524,9
106,525,10
107,526,11
108,527,13
109,528,7
110,529,2
111,531,7
112,533,7
113,537,64
114,537,67
115,538,64
116,538,67
117,539,67
118,540,191
119,541,191
120,542,191
121,561,12
122,562,12
123,563,12
124,564,12
125,565,12
126,566,12
127,567,13
128,568,13
129,569,13
130,570,13
131,571,13
132,572,13
133,573,8
134,574,10
135,575,5
136,576,189
137,577,190
138,578,189
139,579,190
140,580,189
141,581,189
142,582,190
143,583,190
144,584,5
145,585,5
146,586,5
147,587,5
148,588,11
149,589,11
150,590,11
151,591,11
152,592,11
153,593,11
154,594,190
155,595,190
156,596,190
157,597,2
158,598,3
159,599,4
160,600,189
161,601,190
162,602,2
163,603,3
164,604,4
165,605,189
166,606,190
167,607,3
168,608,4
169,609,189
170,610,2
171,611,189
172,613,7
173,614,7
174,615,7
175,616,2
176,617,189
177,619,7
178,620,7
179,621,7
180,622,9
181,623,9
182,624,9
183,625,9
184,626,9
185,627,9
186,628,1
187,629,1
188,630,1
189,631,1
190,632,1
191,633,1
192,634,6
193,635,6
194,636,6
195,637,6
196,638,6
197,639,6
198,640,6
199,641,6
200,642,6
201,643,6
202,644,6
203,645,6
204,646,7
205,647,5
206,648,3
207,649,3
208,650,4
209,651,7
210,653,8
211,654,10
212,655,3
213,656,4
214,657,7
215,659,8
216,660,10
217,661,2
218,662,4
219,663,7
220,664,189
221,665,190
222,666,189
223,667,190
224,668,189
225,669,190
226,670,189
227,671,190
228,672,189
229,673,190
230,674,189
231,675,190
232,676,189
233,677,190
234,678,189
235,679,190
236,680,189
237,681,190
238,682,7
239,684,8
240,685,10
241,686,7
242,688,8
243,689,10
244,690,2
245,691,8
246,692,10
247,693,191
248,694,191
249,695,191
250,703,1
251,704,1
252,705,1
253,706,1
254,714,3
255,715,4
256,740,6
257,741,6
258,742,6
259,743,6
260,744,189
261,745,190
262,746,189
263,747,190
264,748,189
265,749,189
266,750,190
267,751,190
268,752,190
269,753,190
270,754,190
271,755,189
272,756,190
273,757,189
274,758,190
275,759,189
276,760,189
277,761,189
278,770,6
279,771,6
280,772,6
281,773,6
282,774,6
283,775,6
284,776,6
285,777,6
286,780,7
287,781,7
288,782,189
289,783,190
290,784,189
291,785,190
292,786,189
293,787,190
294,788,189
295,789,190
296,790,189
297,791,190
