id,area_id,method_id,version_id,rate
1,1,2,12,25
2,1,2,13,25
3,1,2,14,25
4,1,3,12,50
5,1,3,13,50
6,1,3,14,50
7,1,4,12,75
8,1,4,13,75
9,1,4,14,75
10,1,5,12,10
11,1,5,13,10
12,1,5,14,10
13,2,2,12,25
14,2,2,13,25
15,2,2,14,25
16,2,3,12,50
17,2,3,13,50
18,2,3,14,50
19,2,4,12,75
20,2,4,13,75
21,2,4,14,75
22,2,5,12,10
23,2,5,13,10
24,2,5,14,10
25,3,2,12,25
26,3,2,13,25
27,3,2,14,25
28,3,3,12,50
29,3,3,13,50
30,3,3,14,50
31,3,4,12,75
32,3,4,13,75
33,3,4,14,75
34,3,5,12,10
35,3,5,13,10
36,3,5,14,10
37,4,2,12,25
38,4,2,13,25
39,4,2,14,25
40,4,3,12,50
41,4,3,13,50
42,4,3,14,50
43,4,4,12,75
44,4,4,13,75
45,4,4,14,75
46,4,5,12,10
47,4,5,13,10
48,4,5,14,10
49,5,2,12,25
50,5,2,13,25
51,5,2,14,25
52,5,3,12,50
53,5,3,13,50
54,5,3,14,50
55,5,4,12,75
56,5,4,13,75
57,5,4,14,75
58,5,5,12,10
59,5,5,13,10
60,5,5,14,10
61,6,1,12,10
62,6,1,13,10
63,6,1,14,10
64,7,1,12,10
65,7,1,13,10
66,7,1,14,10
67,8,1,12,30
68,8,1,13,30
69,8,1,14,30
70,8,2,12,25
71,8,2,13,25
72,8,2,14,25
73,8,3,12,50
74,8,3,13,50
75,8,3,14,50
76,8,4,12,75
77,8,4,13,75
78,8,4,14,75
79,8,5,12,10
80,8,5,13,10
81,8,5,14,10
82,9,1,12,30
83,9,1,13,30
84,9,1,14,30
85,10,1,12,30
86,10,1,13,30
87,10,1,14,30
88,10,2,12,25
89,10,2,13,25
90,10,2,14,25
91,10,3,12,50
92,10,3,13,50
93,10,3,14,50
94,10,4,12,75
95,10,4,13,75
96,10,4,14,75
97,10,5,12,10
98,10,5,13,10
99,10,5,14,10
100,11,1,12,10
101,11,1,13,10
102,11,1,14,10
103,11,2,12,25
104,11,2,13,25
105,11,2,14,25
106,11,3,12,50
107,11,3,13,50
108,11,3,14,50
109,11,4,12,75
110,11,4,13,75
111,11,4,14,75
112,11,5,12,10
113,11,5,13,10
114,11,5,14,10
115,12,1,12,10
116,12,1,13,10
117,12,1,14,10
118,13,1,12,10
119,13,1,13,10
120,13,1,14,10
121,14,1,12,30
122,14,1,13,30
123,14,1,14,30
124,15,1,12,30
125,15,1,13,30
126,15,1,14,30
127,16,1,12,10
128,16,1,13,10
129,16,1,14,10
130,16,2,12,25
131,16,2,13,25
132,16,2,14,25
133,16,3,12,50
134,16,3,13,50
135,16,3,14,50
136,16,4,12,75
137,16,4,13,75
138,16,4,14,75
139,16,5,12,10
140,16,5,13,10
141,16,5,14,10
142,17,1,12,15
143,17,1,13,15
144,17,1,14,15
145,18,1,12,15
146,18,1,13,15
147,18,1,14,15
148,19,1,12,15
149,19,1,13,15
150,19,1,14,15
151,20,1,12,10
152,20,1,13,10
153,20,1,14,10
154,21,1,12,10
155,21,1,13,10
156,21,1,14,10
157,22,1,12,10
158,22,1,13,10
159,22,1,14,10
160,23,1,12,10
161,23,1,13,10
162,23,1,14,10
163,23,2,12,25
164,23,2,13,25
165,23,2,14,25
166,23,3,12,50
167,23,3,13,50
168,23,3,14,50
169,23,4,12,75
170,23,4,13,75
171,23,4,14,75
172,23,5,12,10
173,23,5,13,10
174,23,5,14,10
175,24,1,12,35
176,24,1,13,35
177,24,1,14,35
178,24,2,12,25
179,24,2,13,25
180,24,2,14,25
181,24,3,12,50
182,24,3,13,50
183,24,3,14,50
184,24,4,12,75
185,24,4,13,75
186,24,4,14,75
187,24,5,12,15
188,24,5,13,15
189,24,5,14,15
190,25,1,12,35
191,25,1,13,35
192,25,1,14,35
193,25,2,12,25
194,25,2,13,25
