id,location_id,game_index
1,1,7
2,2,9
3,3,11
4,4,13
5,5,15
6,6,46
7,7,47
8,8,48
9,9,49
10,10,50
11,11,52
12,12,53
13,13,54
14,14,57
15,15,59
16,16,84
17,17,75
18,18,62
19,19,64
20,20,65
21,22,66
22,23,68
23,24,69
24,25,70
25,26,76
26,27,77
27,28,78
28,29,73
29,30,74
30,31,16
31,32,17
32,33,18
33,34,19
34,35,20
35,36,21
36,37,22
37,38,23
38,39,24
39,41,25
40,42,26
41,43,27
42,44,28
43,45,29
44,46,30
45,47,31
46,48,32
47,49,33
48,50,34
49,51,36
50,52,37
51,53,39
52,54,40
53,55,42
54,56,43
55,57,44
56,58,1
57,59,5
58,60,83
59,61,35
60,62,38
61,63,41
62,64,45
63,65,136
64,66,206
65,67,144
66,68,141
67,69,127
68,70,130
69,71,146
70,72,220
71,73,197
72,74,222
73,75,133
74,76,145
75,77,217
76,78,214
77,79,135
78,80,198
79,81,216
80,82,137
81,83,207
82,84,126
83,85,132
84,86,138
85,87,200
86,88,149
87,89,158
88,90,159
89,91,160
90,92,161
91,93,162
92,94,163
93,95,164
94,96,165
95,97,166
96,98,167
97,99,150
98,100,168
99,101,169
100,102,170
101,103,172
102,104,173
103,105,174
104,106,175
105,107,176
106,108,177
107,109,151
108,110,178
109,111,179
110,112,180
111,113,181
112,114,182
113,115,183
114,116,184
115,117,185
116,118,186
117,119,187
118,120,152
119,121,188
120,122,189
121,123,190
122,124,191
123,125,192
124,126,193
125,127,194
126,128,195
127,129,196
128,130,153
129,131,154
130,132,155
131,133,156
132,134,157
133,135,209
134,136,203
135,137,211
136,138,204
137,139,205
138,140,223
139,141,210
140,147,199
141,151,143
142,152,221
143,153,128
144,154,139
145,155,224
146,156,218
147,157,171
148,158,201
149,161,106
150,162,202
151,163,2
152,164,3
153,165,4
154,167,6
155,168,8
156,169,10
157,170,12
158,171,14
159,172,51
160,173,55
161,174,56
162,175,58
163,177,60
164,178,61
165,179,63
166,180,67
167,181,71
168,182,72
169,183,79
170,184,80
171,185,81
172,186,82
173,187,85
174,188,86
175,190,87
176,191,88
177,192,89
178,193,90
179,194,91
180,195,92
181,196,93
182,197,94
183,198,95
184,199,96
185,200,97
186,201,98
187,202,99
188,203,100
189,204,101
190,205,102
191,206,103
192,207,104
193,208,105
194,209,107
195,210,108
196,211,109
197,212,110
198,213,111
199,214,112
200,215,113
201,216,114
202,217,115
203,218,116
204,219,117
205,220,118
206,221,119
207,222,120
208,223,121
209,224,122
210,225,123
211,226,124
212,227,125
213,228,129
214,229,131
215,230,134
216,231,140
217,232,142
218,233,147
219,234,148
220,236,212
221,237,213
222,238,215
223,239,219
224,241,225
225,242,226
226,243,227
227,244,228
228,245,229
229,246,230
230,247,231
231,248,232
232,249,233
233,250,234
234,252,208
235,253,2000
236,254,2001
237,255,2002
238,256,2003
239,257,2004
240,258,2005
241,259,2006
242,260,2008
243,261,2009
244,262,2010
245,263,2011
248,264,2
249,265,3000
250,266,3001
253,267,4
254,268,3003
255,269,3004
256,270,3005
257,271,3006
258,272,3007
259,273,3008
260,274,3009
261,275,3010
262,276,3011
263,277,3012
264,278,3013
265,279,3014
266,280,3015
267,281,3016
268,282,3017
269,283,3018
270,284,3019
271,285,3020
272,286,3021
273,287,3022
274,288,3023
275,289,3024
276,290,3025
277,291,3026
278,292,3027
279,293,3028
280,294,3029
281,295,3030
282,296,3031
283,297,3032
284,298,3033
285,299,3034
286,300,3035
287,301,3036
288,302,3037
289,303,3038
290,304,3039
291,305,3040
292,306,3041
293,307,3042
294,308,3043
295,309,3044
296,310,3045
297,311,3046
298,312,3047
299,313,3048
300,314,3049
301,315,3050
302,316,3051
303,317,3052
304,318,3053
305,319,3054
306,320,3055
307,321,3056
308,322,3057
309,323,3058
310,324,3059
311,325,3060
312,326,3061
313,327,3062
314,328,3063
315,329,3064
316,330,3065
317,331,3066
318,332,3067
319,333,3068
320,334,3069
321,335,3070
322,336,3071
323,337,3072
324,338,3073
325,339,3074
326,340,3075
327,341,3076
328,342,2013
329,343,2014
330,344,1
331,345,2
333,346,81
334,347,5
335,348,6
336,349,7
337,350,8
339,351,76
341,352,77
343,353,78
345,354,79
347,355,80
348,356,14
349,357,15
350,358,16
351,359,17
353,360,93
