id,item_id,skill_id
1,1288,5
1577,1188,14
1594,1189,34
1613,1190,53
1632,1191,56
1651,1192,57
1670,1193,58
1686,1194,59
1698,1195,67
1707,1196,85
1708,1197,87
1709,1198,89
1710,1199,94
1711,1200,97
1712,1201,116
1713,1202,118
1714,1203,126
1715,1204,127
1716,1205,133
1717,1206,141
1718,1207,161
1719,1208,164
1720,1209,179
1721,1210,188
1722,1211,191
1723,1212,200
1724,1213,473
1725,1214,203
1726,1215,214
1727,1216,224
1728,1217,226
1729,1218,227
1730,1219,231
1731,1220,242
1732,1221,247
1733,1222,248
1734,1223,253
1735,1224,257
1736,1225,269
1737,1226,271
1738,1227,276
1739,1228,285
1740,1229,299
1741,1230,304
1742,1231,315
1743,1232,322
1744,1233,330
1745,1234,334
1746,1235,337
1747,1236,339
1748,1237,347
1749,1238,348
1750,1239,349
1751,1240,360
1752,1241,370
1753,1242,390
1754,1243,394
1755,1244,396
1756,1245,398
1757,1246,399
1758,1247,402
1759,1248,404
1760,1249,405
1761,1250,406
1762,1251,408
1763,1252,411
1764,1253,412
1765,1254,413
1766,1255,414
1767,1256,417
1768,1257,428
1769,1258,430
1770,1259,437
1771,1260,438
1772,1261,441
1773,1262,442
1774,1263,444
1775,1264,446
1776,1265,447
1777,1266,482
1778,1267,484
1779,1268,486
1780,1269,492
1781,1270,500
1782,1271,502
1783,1272,503
1784,1273,526
1785,1274,528
1786,1275,529
1787,1276,535
1788,1277,542
1789,1278,583
1790,1279,599
1791,1280,605
1792,1281,663
1793,1282,667
1794,1283,675
1795,1284,676
1796,1285,706
1797,1286,710
1798,1287,776
1808,397,15
1809,398,19
1810,399,57
1811,400,70
1812,401,432
1813,402,249
1814,403,127
1815,404,431
1816,305,36
1818,307,313
1819,308,97
1820,309,189
1821,310,184
1823,312,424
1824,313,422
1825,314,423
1826,315,352
1827,316,67
1829,318,512
1830,319,522
1831,320,60
1832,321,109
1833,322,168
1834,323,574
1835,324,885
1836,325,884
1837,326,886
1838,327,451
1839,328,83
1840,329,263
1841,330,342
1842,331,332
1843,332,523
1846,335,232
1847,336,129
1848,337,345
1850,339,341
1851,340,317
1852,341,577
1853,342,488
1855,344,314
1857,346,101
1858,347,374
1860,349,474
1861,350,419
1862,351,203
1863,352,521
1869,358,473
1870,359,91
1871,360,331
1872,361,206
1873,362,280
1876,365,421
1877,366,492
1880,369,403
1881,370,34
1885,374,214
1886,375,402
1887,376,486
1888,377,409
1894,383,605
1895,384,118
1899,388,707
1900,389,156
1905,394,191
1906,395,390
1907,396,286
1910,661,141
1911,745,598
1912,746,19
1913,747,285
1916,1944,408
1917,1945,441
1920,1948,404
1929,1957,247
1931,1959,446
1935,1963,94
1937,1965,227
1938,1966,57
1949,1977,179
1962,1990,528
1966,1994,566
1967,1995,416
1982,2010,370
1984,2012,434
2048,1975,226
2049,2013,796
2050,2161,46
2051,2162,268
2053,2164,92
2054,2165,328
2055,2166,180
2056,2167,356
2057,2168,479
2058,2169,360
2060,2171,450
2061,2172,162
2062,2173,410
2067,2178,535
2069,2180,253
2070,2181,264
2073,2184,807
2076,2187,809
2077,2188,808
2080,306,204
2081,311,182
2082,317,491
2083,333,506
2084,334,555
2085,338,196
2086,343,490
2087,345,500
2088,348,525
2089,353,241
2090,354,240
2091,355,201
2092,356,883
2093,357,684
2094,363,428
2095,364,369
2096,367,706
2097,368,339
2098,371,7
2099,372,9
2100,373,8
2101,378,115
2102,379,113
2103,380,350
2104,381,127
2105,382,337
2106,385,447
2107,386,86
2108,387,398
2109,390,157
2110,391,269
2111,392,14
2112,393,776
2113,659,430
2114,660,399
2115,748,442
2116,749,349
2117,1946,164
2118,1947,334
2119,1949,529
2120,1950,261
2121,1951,242
2122,1952,271
2123,1953,710
2124,1954,202
2125,1955,396
2126,1956,366
2127,1958,406
2128,1960,304
2129,1961,257
2130,1962,412
2131,1964,484
2132,1967,861
2133,1968,53
2134,1969,85
2135,1970,583
2136,1971,133
2137,1972,347
2138,1973,270
2139,1974,676
2140,1976,414
2141,1978,58
2142,1979,604
2143,1980,580
2144,1981,678
2145,1982,581
2146,1983,417
2147,1984,126
2148,1985,56
2149,1986,59
2150,1987,519
2151,1988,518
2152,1989,520
2153,1991,188
2154,1992,89
2155,1993,444
2156,1996,307
2157,1997,308
2158,1998,338
2159,1999,200
2160,2000,315
2161,2001,411
2162,2002,437
2163,2003,542
2164,2004,433
2165,2005,405
2166,2006,63
2167,2007,413
2168,2008,394
2169,2009,87
2170,2011,76
2171,2014,851
2172,2163,114
2173,2170,282
2174,2174,679
2175,2175,667
2176,2176,333
2177,2177,503
2178,2179,669
2179,2182,311
2180,2183,803
2181,2185,812
2182,2186,814
2183,2189,799
2184,2190,802
2185,2191,220
2186,2192,244
2187,2193,38
2188,2194,283
2189,2195,572
2190,2196,915
2191,2197,250
2192,2198,330
2193,2199,916
2194,2200,527
2195,2201,813
2196,2202,811
2197,2203,482
2198,2204,815
2199,2205,297
2200,2206,248
2201,2207,797
2202,2208,806
2203,2209,800
2204,2210,675
2205,2211,784
2206,2212,319
2207,2213,174
2208,2214,912
2209,2215,913
2210,2216,914
2211,2217,917
2212,2218,918
