id,code,name,increased_stat_id,decreased_stat_id,enabled
1,hardy,勤奋,,,true
2,bold,大胆,3,2,true
3,modest,内敛,4,2,true
4,calm,温和,5,2,true
5,timid,胆小,6,2,true
6,lonely,怕寂寞,2,3,true
7,docile,坦率,,,true
8,mild,慢吞吞,4,3,true
9,gentle,温顺,5,3,true
10,hasty,急躁,6,3,true
11,adamant,固执,2,4,true
12,impish,淘气,3,4,true
13,bashful,害羞,,,true
14,careful,慎重,5,4,true
15,rash,马虎,4,5,true
16,jolly,爽朗,6,4,true
17,naughty,顽皮,2,5,true
18,lax,乐天,3,5,true
19,quirky,浮躁,,,true
20,naive,天真,6,5,true
21,brave,勇敢,2,6,true
22,relaxed,悠闲,3,6,true
23,quiet,冷静,4,6,true
24,sassy,自大,5,6,true
25,serious,认真,,,true
