id,skill_id,combo_type,relation_type,related_skill_id
1,1,normal,use_before,3
2,1,normal,use_before,21
3,1,normal,use_before,185
4,2,normal,use_after,116
5,3,normal,use_after,1
6,5,normal,use_after,116
7,5,normal,use_after,170
8,7,normal,use_before,8
9,7,normal,use_before,9
10,7,normal,use_after,8
11,7,normal,use_after,9
12,7,normal,use_after,241
13,8,normal,use_before,7
14,8,normal,use_before,9
15,8,normal,use_after,7
16,8,normal,use_after,9
17,9,normal,use_before,7
18,9,normal,use_before,8
19,9,normal,use_after,7
20,9,normal,use_after,8
21,9,normal,use_after,268
22,10,normal,use_before,154
23,10,normal,use_before,163
24,10,normal,use_after,43
25,11,normal,use_before,12
26,11,normal,use_before,20
27,12,normal,use_after,11
28,14,normal,use_before,15
29,14,normal,use_before,152
30,14,normal,use_before,163
31,14,normal,use_before,206
32,14,normal,use_before,210
33,14,normal,use_before,306
34,15,normal,use_after,14
35,20,normal,use_after,11
36,21,normal,use_after,1
37,22,normal,use_after,74
38,23,normal,use_after,43
39,25,normal,use_after,116
40,25,normal,use_after,170
41,26,normal,use_after,170
42,28,normal,use_before,189
43,28,normal,use_after,189
44,28,normal,use_after,201
45,29,normal,use_after,116
46,30,normal,use_before,31
47,30,normal,use_before,32
48,30,normal,use_after,43
49,31,normal,use_after,30
50,31,normal,use_after,64
51,32,normal,use_after,30
52,33,normal,use_after,43
53,33,normal,use_after,106
54,33,normal,use_after,111
55,36,normal,use_after,106
56,36,normal,use_after,116
57,37,normal,use_after,99
58,38,normal,use_after,106
59,38,normal,use_after,116
60,39,normal,use_after,204
61,43,normal,use_before,10
62,43,normal,use_before,23
63,43,normal,use_before,30
64,43,normal,use_before,33
65,43,normal,use_before,44
66,43,normal,use_before,137
67,43,normal,use_before,184
68,43,normal,use_before,185
69,43,normal,use_after,99
70,43,normal,use_after,184
71,44,normal,use_after,43
72,44,normal,use_after,184
73,45,normal,use_after,204
74,47,normal,use_before,195
75,47,normal,use_before,287
76,52,normal,use_after,241
77,53,normal,use_after,241
78,55,normal,use_after,240
79,55,normal,use_after,300
80,55,normal,use_after,346
81,56,normal,use_after,240
82,56,super,use_after,244
83,57,normal,use_before,291
84,57,normal,use_after,240
85,57,normal,use_after,291
86,59,normal,use_after,181
87,59,normal,use_after,258
88,60,normal,use_after,347
89,61,normal,use_after,240
90,64,normal,use_before,31
91,64,normal,use_before,65
92,65,normal,use_after,64
93,66,normal,use_after,170
94,68,normal,use_after,269
95,69,normal,use_after,252
96,71,normal,use_after,74
97,72,normal,use_after,74
98,74,normal,use_before,22
99,74,normal,use_before,71
100,74,normal,use_before,72
