id,code,name,description,enabled
1,level-up,升级,当生物达到一定等级时学习。,true
2,egg,蛋,如果父亲有同样的技能，就会出现在新孵化的生物身上。,true
3,tutor,导师,可由NPC随时教导。,true
4,machine,学习机,可以使用 TM 或 HM 随时进行教学。,true
5,stadium-surfing-pikachu,球场：冲浪皮卡丘,当非租赁皮卡丘帮助击败 Prime Cup Master Ball R-2 时得知。每场对战都必须参加，而且必须不战而胜。,true
6,light-ball-egg,Volt 钓具 Pichu,出现在母亲拿着光球的皮丘身上。父亲不可能是同上。,true
7,colosseum-purification,斗兽场：净化,当影子生物变得越来越纯净时出现在它身上。,true
8,xd-shadow,XD：影子,出现在被夺走的暗影生物身上。,true
9,xd-purification,XD：净化,当影子生物变得越来越纯净时出现在它身上。,true
10,form-change,形式变更,当洛托姆或角色扮演皮卡丘变形时出现。如果生物变成另一种形态，就会消失，并且该技能只能通过形态变化来学习。,true
11,zygarde-cube,基加德立方体,可以使用 Zygarde Cube 进行教学。必须先在太阳/月亮中找到对应的Zygarde Core。所有技能均可在究极日/究极月中立即使用。,true
12,train,火车,通过《生物冠军》中的训练菜单进行教学。,true
