id,learn_method_id,version_group_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,28
22,1,29
23,2,3
24,2,4
25,2,5
26,2,6
27,2,7
28,2,8
29,2,9
30,2,10
31,2,11
32,2,14
33,2,15
34,2,16
35,2,17
36,2,18
37,2,20
38,3,4
39,3,6
40,3,7
41,3,8
42,3,9
43,3,10
44,3,11
45,3,13
46,3,14
47,3,15
48,3,16
49,3,17
50,3,18
51,3,19
52,3,20
53,4,1
54,4,2
55,4,3
56,4,4
57,4,5
58,4,6
59,4,7
60,4,8
61,4,9
62,4,10
63,4,11
64,4,12
65,4,13
66,4,14
67,4,15
68,4,16
69,4,17
70,4,18
71,4,19
72,4,20
73,4,28
74,4,29
75,5,1
76,5,2
77,5,28
78,5,29
79,6,6
80,6,8
81,6,9
82,6,10
83,6,11
84,6,14
85,6,15
86,6,16
87,6,17
88,6,18
89,10,9
90,10,10
91,10,11
92,10,14
93,10,15
94,10,16
95,10,17
96,10,18
97,10,20
98,11,17
99,11,18
