id,skill_id,stat_id,change_value
1,14,2,2
2,28,7,-1
3,39,3,-1
4,43,3,-1
5,45,2,-1
6,51,5,-1
7,61,6,-1
8,62,2,-1
9,74,2,1
10,74,4,1
11,81,6,-2
12,94,5,-1
14,97,6,2
15,103,3,-2
16,104,8,1
17,106,3,1
18,107,8,2
19,108,7,-1
20,110,3,1
21,111,3,1
24,133,5,2
28,151,3,2
30,178,6,-2
31,184,6,-2
32,189,7,-1
34,196,6,-1
35,204,2,-2
36,207,2,2
37,211,3,1
38,229,6,1
39,230,8,-2
40,231,3,-1
41,232,2,1
42,242,3,-1
43,246,2,1
44,246,3,1
45,246,4,1
46,246,5,1
47,246,6,1
48,247,5,-1
49,249,3,-1
50,254,3,1
51,254,5,1
52,260,4,1
53,262,2,-2
54,262,4,-2
55,268,5,1
56,276,2,-1
57,276,3,-1
58,294,4,3
59,295,5,-1
60,296,4,-1
61,297,2,-2
62,306,3,-1
63,309,2,1
64,313,5,-2
65,315,4,-2
66,317,6,-1
72,319,5,-2
73,321,2,-1
74,321,3,-1
75,322,3,1
76,322,5,1
77,330,7,-1
78,334,3,2
79,336,2,1
80,339,2,1
81,339,3,1
82,341,6,-1
83,347,4,1
84,347,5,1
85,349,2,1
86,349,6,1
87,354,4,-2
88,359,6,-1
89,370,3,-1
90,370,5,-1
91,397,6,2
92,405,5,-1
93,411,5,-1
94,412,5,-1
95,414,5,-1
96,417,4,2
99,430,5,-1
100,432,8,-1
101,434,4,-2
102,437,4,-2
104,451,4,1
105,455,3,1
106,455,5,1
107,465,5,-2
113,468,2,1
114,468,7,1
116,483,4,1
117,483,5,1
118,483,6,1
119,488,6,1
120,489,2,1
121,489,3,1
122,489,7,1
123,490,6,-1
124,491,5,-2
125,504,3,-1
126,504,5,-1
127,504,2,2
128,504,4,2
129,504,6,2
130,508,2,1
131,508,6,2
132,522,4,-1
133,523,6,-1
134,526,2,1
135,526,4,1
136,527,6,-1
137,534,3,-1
139,538,3,3
140,539,7,-1
141,549,6,-1
142,552,4,1
143,555,4,-1
149,568,2,-1
150,568,4,-1
151,575,2,-1
152,575,4,-1
154,583,2,-1
155,585,4,-1
156,589,2,-1
157,590,4,-1
158,591,3,2
159,595,4,-1
160,597,5,1
161,598,4,-2
168,602,3,1
169,602,5,1
170,608,2,-1
172,620,3,-1
173,620,5,-1
174,621,3,-1
175,665,6,-1
176,668,2,-1
177,672,6,-1
180,679,2,-1
181,680,3,-1
182,688,2,-1
183,691,3,-1
189,705,4,-2
191,710,3,-1
192,715,2,-1
193,715,4,-1
200,747,3,2
201,748,2,1
202,748,3,1
203,748,4,1
204,748,5,1
205,748,6,1
206,749,6,-1
207,775,2,1
208,775,3,1
209,775,4,1
210,775,5,1
211,775,6,1
212,777,2,2
213,777,4,2
214,778,6,-1
215,783,6,1
216,784,2,-1
217,787,5,-1
218,788,3,-1
219,789,4,-1
220,806,4,-1
221,811,2,1
222,811,3,1
223,823,3,-1
224,851,2,-1
225,851,4,-1
226,852,6,-1
227,855,5,-2
228,858,2,2
229,858,3,-2
230,859,6,-2
231,868,2,2
232,868,4,2
233,868,6,2
234,871,4,1
235,872,6,1
236,874,4,-1
237,882,2,1
238,882,6,1
239,884,6,-1
240,885,6,1
241,886,2,-1
242,890,3,-1
243,890,5,-1
244,903,6,-1
245,905,4,1
