id,species_id,catalog_id,entry_number
1,1,1,1
2,1,2,1
3,1,3,226
4,1,7,231
5,1,12,80
6,1,26,1
7,1,28,68
8,1,33,164
9,1,34,148
10,2,1,2
11,2,2,2
12,2,3,227
13,2,7,232
14,2,12,81
15,2,26,2
16,2,28,69
17,2,33,165
18,2,34,149
19,3,1,3
20,3,2,3
21,3,3,228
22,3,7,233
23,3,12,82
24,3,26,3
25,3,28,70
26,3,33,166
27,3,34,150
28,3,36,3
29,4,1,4
30,4,2,4
31,4,3,229
32,4,7,234
33,4,11,109
34,4,12,83
35,4,26,4
36,4,27,378
37,4,33,167
38,4,34,151
39,5,1,5
40,5,2,5
41,5,3,230
42,5,7,235
43,5,11,110
44,5,12,84
45,5,26,5
46,5,27,379
47,5,33,168
48,5,34,152
49,6,1,6
50,6,2,6
51,6,3,231
52,6,7,236
53,6,11,111
54,6,12,85
55,6,26,6
56,6,27,380
57,6,33,169
58,6,34,153
59,6,36,6
60,7,1,7
61,7,2,7
62,7,3,232
63,7,7,237
64,7,12,86
65,7,26,7
66,7,28,71
67,7,33,170
68,7,34,154
69,8,1,8
70,8,2,8
71,8,3,233
72,8,7,238
73,8,12,87
74,8,26,8
75,8,28,72
76,8,33,171
77,8,34,155
78,9,1,9
79,9,2,9
80,9,3,234
81,9,7,239
82,9,12,88
83,9,26,9
84,9,28,73
85,9,33,172
86,9,34,156
87,9,36,9
88,10,1,10
89,10,2,10
90,10,3,24
91,10,7,24
92,10,12,23
93,10,16,17
94,10,17,17
95,10,18,8
96,10,21,17
97,10,22,17
98,10,23,8
99,10,26,10
100,10,27,13
101,11,1,11
102,11,2,11
103,11,3,25
104,11,7,25
105,11,12,24
106,11,16,18
107,11,17,18
108,11,18,9
109,11,21,18
110,11,22,18
111,11,23,9
112,11,26,11
113,11,27,14
114,12,1,12
115,12,2,12
116,12,3,26
117,12,7,26
118,12,12,25
119,12,16,19
120,12,17,19
121,12,18,10
122,12,21,19
123,12,22,19
124,12,23,10
125,12,26,12
126,12,27,15
127,13,1,13
128,13,2,13
129,13,3,27
130,13,7,27
131,13,12,26
132,13,26,13
133,13,34,18
134,14,1,14
135,14,2,14
136,14,3,28
137,14,7,28
138,14,12,27
139,14,26,14
140,14,34,19
