id,species_id,creature_id,default_variety
1,1,1,true
2,2,2,true
3,3,3,true
4,3,10033,false
5,3,10195,false
6,4,4,true
7,5,5,true
8,6,6,true
9,6,10034,false
10,6,10035,false
11,6,10196,false
12,7,7,true
13,8,8,true
14,9,9,true
15,9,10036,false
16,9,10197,false
17,10,10,true
18,11,11,true
19,12,12,true
20,12,10198,false
21,13,13,true
22,14,14,true
23,15,15,true
24,15,10090,false
25,16,16,true
26,17,17,true
27,18,18,true
28,18,10073,false
29,19,19,true
30,19,10091,false
31,20,20,true
32,20,10092,false
33,20,10093,false
34,21,21,true
35,22,22,true
36,23,23,true
37,24,24,true
38,25,25,true
39,25,10080,false
40,25,10081,false
41,25,10082,false
42,25,10083,false
43,25,10084,false
44,25,10085,false
45,25,10094,false
46,25,10095,false
47,25,10096,false
48,25,10097,false
49,25,10098,false
50,25,10099,false
51,25,10148,false
52,25,10158,false
53,25,10160,false
54,25,10199,false
55,26,26,true
56,26,10100,false
57,26,10304,false
58,26,10305,false
59,27,27,true
60,27,10101,false
61,28,28,true
62,28,10102,false
63,29,29,true
64,30,30,true
65,31,31,true
66,32,32,true
67,33,33,true
68,34,34,true
69,35,35,true
70,36,36,true
71,36,10278,false
72,37,37,true
73,37,10103,false
74,38,38,true
75,38,10104,false
76,39,39,true
77,40,40,true
78,41,41,true
79,42,42,true
80,43,43,true
81,44,44,true
82,45,45,true
83,46,46,true
84,47,47,true
85,48,48,true
86,49,49,true
87,50,50,true
88,50,10105,false
89,51,51,true
90,51,10106,false
91,52,52,true
92,52,10107,false
93,52,10161,false
94,52,10200,false
95,53,53,true
96,53,10108,false
97,54,54,true
98,55,55,true
99,56,56,true
100,57,57,true
101,58,58,true
102,58,10229,false
103,59,59,true
104,59,10230,false
105,60,60,true
106,61,61,true
107,62,62,true
108,63,63,true
109,64,64,true
110,65,65,true
111,65,10037,false
112,66,66,true
113,67,67,true
114,68,68,true
115,68,10201,false
116,69,69,true
117,70,70,true
118,71,71,true
119,71,10279,false
120,72,72,true
121,73,73,true
122,74,74,true
123,74,10109,false
124,75,75,true
125,75,10110,false
126,76,76,true
127,76,10111,false
128,77,77,true
129,77,10162,false
130,78,78,true
131,78,10163,false
132,79,79,true
133,79,10164,false
134,80,80,true
135,80,10071,false
136,80,10165,false
137,81,81,true
138,82,82,true
139,83,83,true
140,83,10166,false
141,84,84,true
142,85,85,true
143,86,86,true
144,87,87,true
145,88,88,true
146,88,10112,false
147,89,89,true
148,89,10113,false
149,90,90,true
150,91,91,true
151,92,92,true
152,93,93,true
153,94,94,true
154,94,10038,false
155,94,10202,false
156,95,95,true
157,96,96,true
158,97,97,true
159,98,98,true
160,99,99,true
161,99,10203,false
162,100,100,true
163,100,10231,false
164,101,101,true
165,101,10232,false
166,102,102,true
167,103,103,true
168,103,10114,false
169,104,104,true
170,105,105,true
171,105,10115,false
172,105,10149,false
173,106,106,true
174,107,107,true
175,108,108,true
176,109,109,true
177,110,110,true
178,110,10167,false
179,111,111,true
180,112,112,true
181,113,113,true
182,114,114,true
183,115,115,true
184,115,10039,false
185,116,116,true
186,117,117,true
187,118,118,true
188,119,119,true
189,120,120,true
190,121,121,true
191,121,10280,false
192,122,122,true
193,122,10168,false
194,123,123,true
195,124,124,true
196,125,125,true
197,126,126,true
198,127,127,true
199,127,10040,false
200,128,128,true
201,128,10250,false
202,128,10251,false
203,128,10252,false
204,129,129,true
205,130,130,true
206,130,10041,false
207,131,131,true
208,131,10204,false
209,132,132,true
210,133,133,true
211,133,10159,false
212,133,10205,false
213,134,134,true
214,135,135,true
215,136,136,true
216,137,137,true
217,138,138,true
218,139,139,true
219,140,140,true
220,141,141,true
221,142,142,true
222,142,10042,false
223,143,143,true
224,143,10206,false
225,144,144,true
226,144,10169,false
227,145,145,true
228,145,10170,false
229,146,146,true
230,146,10171,false
231,147,147,true
232,148,148,true
233,149,149,true
234,149,10281,false
235,150,150,true
236,150,10043,false
237,150,10044,false
238,151,151,true
239,152,152,true
240,153,153,true
241,154,154,true
242,154,10282,false
243,155,155,true
244,156,156,true
245,157,157,true
246,157,10233,false
247,158,158,true
248,159,159,true
249,160,160,true
250,160,10283,false
251,161,161,true
252,162,162,true
253,163,163,true
254,164,164,true
255,165,165,true
256,166,166,true
257,167,167,true
258,168,168,true
259,169,169,true
260,170,170,true
261,171,171,true
262,172,172,true
263,173,173,true
264,174,174,true
265,175,175,true
266,176,176,true
267,177,177,true
268,178,178,true
269,179,179,true
270,180,180,true
271,181,181,true
272,181,10045,false
273,182,182,true
274,183,183,true
275,184,184,true
276,185,185,true
277,186,186,true
278,187,187,true
279,188,188,true
280,189,189,true
281,190,190,true
282,191,191,true
283,192,192,true
284,193,193,true
285,194,194,true
286,194,10253,false
287,195,195,true
288,196,196,true
289,197,197,true
290,198,198,true
291,199,199,true
292,199,10172,false
293,200,200,true
294,201,201,true
295,202,202,true
296,203,203,true
297,204,204,true
298,205,205,true
299,206,206,true
300,207,207,true
301,208,208,true
302,208,10072,false
303,209,209,true
304,210,210,true
305,211,211,true
306,211,10234,false
307,212,212,true
308,212,10046,false
309,213,213,true
310,214,214,true
311,214,10047,false
312,215,215,true
313,215,10235,false
314,216,216,true
315,217,217,true
316,218,218,true
317,219,219,true
318,220,220,true
319,221,221,true
320,222,222,true
321,222,10173,false
322,223,223,true
323,224,224,true
324,225,225,true
325,226,226,true
326,227,227,true
327,227,10284,false
328,228,228,true
329,229,229,true
330,229,10048,false
331,230,230,true
332,231,231,true
333,232,232,true
334,233,233,true
335,234,234,true
336,235,235,true
337,236,236,true
338,237,237,true
339,238,238,true
340,239,239,true
341,240,240,true
342,241,241,true
343,242,242,true
344,243,243,true
345,244,244,true
346,245,245,true
347,246,246,true
348,247,247,true
349,248,248,true
350,248,10049,false
351,249,249,true
352,250,250,true
353,251,251,true
354,252,252,true
355,253,253,true
356,254,254,true
