id,stat_id,nature_id,effect_type
1,2,6,increase
2,2,11,increase
3,2,17,increase
4,2,21,increase
5,2,2,decrease
6,2,3,decrease
7,2,4,decrease
8,2,5,decrease
9,3,2,increase
10,3,12,increase
11,3,18,increase
12,3,22,increase
13,3,6,decrease
14,3,8,decrease
15,3,9,decrease
16,3,10,decrease
17,4,3,increase
18,4,8,increase
19,4,15,increase
20,4,23,increase
21,4,11,decrease
22,4,12,decrease
23,4,14,decrease
24,4,16,decrease
25,5,4,increase
26,5,9,increase
27,5,14,increase
28,5,24,increase
29,5,15,decrease
30,5,17,decrease
31,5,18,decrease
32,5,20,decrease
33,6,5,increase
34,6,10,increase
35,6,16,increase
36,6,20,increase
37,6,21,decrease
38,6,22,decrease
39,6,23,decrease
40,6,24,decrease
