id,stat_id,skill_id,change_value,effect_type
1,2,14,2,increase
2,2,74,1,increase
3,2,96,1,increase
4,2,159,1,increase
5,2,207,2,increase
6,2,232,1,increase
7,2,246,1,increase
8,2,309,1,increase
9,2,318,1,increase
10,2,336,1,increase
11,2,339,1,increase
12,2,349,1,increase
13,2,466,1,increase
14,2,468,1,increase
15,2,489,1,increase
16,2,504,2,increase
17,2,508,1,increase
18,2,526,1,increase
19,2,563,1,increase
20,2,612,1,increase
21,2,674,1,increase
22,2,702,2,increase
23,2,728,1,increase
24,2,748,1,increase
25,2,775,1,increase
26,2,777,2,increase
27,2,811,1,increase
28,2,858,2,increase
29,2,868,2,increase
30,2,882,1,increase
31,2,45,-1,decrease
32,2,62,-1,decrease
33,2,204,-2,decrease
34,2,262,-2,decrease
35,2,276,-1,decrease
36,2,297,-2,decrease
37,2,321,-1,decrease
38,2,568,-1,decrease
39,2,575,-1,decrease
40,2,583,-1,decrease
41,2,589,-1,decrease
42,2,599,-1,decrease
43,2,608,-1,decrease
44,2,668,-1,decrease
45,2,679,-1,decrease
46,2,688,-1,decrease
47,2,715,-1,decrease
48,2,784,-1,decrease
49,2,851,-1,decrease
50,2,886,-1,decrease
51,3,106,1,increase
52,3,110,1,increase
53,3,111,1,increase
54,3,112,2,increase
55,3,151,2,increase
56,3,211,1,increase
57,3,246,1,increase
58,3,254,1,increase
59,3,318,1,increase
60,3,322,1,increase
61,3,334,2,increase
62,3,339,1,increase
63,3,455,1,increase
64,3,466,1,increase
65,3,489,1,increase
66,3,538,3,increase
67,3,579,1,increase
68,3,591,2,increase
69,3,602,1,increase
70,3,702,2,increase
71,3,728,1,increase
72,3,747,2,increase
73,3,748,1,increase
74,3,775,1,increase
75,3,811,1,increase
76,3,39,-1,decrease
77,3,43,-1,decrease
78,3,103,-2,decrease
79,3,231,-1,decrease
80,3,242,-1,decrease
81,3,249,-1,decrease
82,3,276,-1,decrease
83,3,306,-1,decrease
84,3,321,-1,decrease
85,3,370,-1,decrease
86,3,504,-1,decrease
87,3,534,-1,decrease
88,3,557,-1,decrease
89,3,620,-1,decrease
90,3,621,-1,decrease
91,3,680,-1,decrease
92,3,691,-1,decrease
93,3,708,-1,decrease
94,3,710,-1,decrease
95,3,788,-1,decrease
96,3,823,-1,decrease
97,3,858,-2,decrease
98,3,890,-1,decrease
99,4,74,1,increase
100,4,246,1,increase
101,4,260,1,increase
102,4,294,3,increase
103,4,318,1,increase
104,4,347,1,increase
105,4,417,2,increase
106,4,451,1,increase
107,4,466,1,increase
108,4,483,1,increase
109,4,504,2,increase
110,4,526,1,increase
111,4,552,1,increase
112,4,563,1,increase
113,4,601,2,increase
114,4,674,1,increase
115,4,702,2,increase
116,4,728,1,increase
117,4,748,1,increase
118,4,775,1,increase
119,4,777,2,increase
120,4,868,2,increase
121,4,871,1,increase
122,4,905,1,increase
123,4,262,-2,decrease
124,4,296,-1,decrease
125,4,315,-2,decrease
126,4,354,-2,decrease
127,4,434,-2,decrease
128,4,437,-2,decrease
129,4,445,-2,decrease
130,4,522,-1,decrease
131,4,555,-1,decrease
132,4,568,-1,decrease
133,4,575,-1,decrease
134,4,585,-1,decrease
135,4,590,-1,decrease
136,4,595,-1,decrease
137,4,598,-2,decrease
138,4,599,-1,decrease
139,4,705,-2,decrease
140,4,715,-1,decrease
141,4,789,-1,decrease
142,4,806,-1,decrease
143,4,851,-1,decrease
144,4,874,-1,decrease
145,5,133,2,increase
146,5,246,1,increase
147,5,254,1,increase
148,5,268,1,increase
149,5,318,1,increase
150,5,322,1,increase
151,5,347,1,increase
152,5,455,1,increase
153,5,466,1,increase
154,5,483,1,increase
155,5,597,1,increase
156,5,601,2,increase
157,5,602,1,increase
158,5,702,2,increase
159,5,728,1,increase
160,5,748,1,increase
161,5,775,1,increase
162,5,51,-1,decrease
163,5,94,-1,decrease
164,5,247,-1,decrease
165,5,295,-1,decrease
