id,area_id,species_id,base_score,rate
1,1,10,30,50
2,1,11,50,30
3,1,12,70,20
4,1,13,30,50
5,1,14,50,30
6,1,15,70,20
7,1,23,30,50
8,1,24,50,30
9,1,25,80,10
10,1,26,90,3
11,1,43,30,50
12,1,44,50,30
13,1,45,70,20
14,1,46,30,50
15,1,47,50,30
16,1,48,30,50
17,1,49,50,30
18,1,69,30,50
19,1,70,50,30
20,1,71,70,20
21,1,92,50,30
22,1,93,80,10
23,1,94,90,3
24,1,96,50,30
25,1,97,70,20
26,1,102,50,30
27,1,103,70,20
28,1,114,50,30
29,1,127,70,20
30,1,151,100,1
31,1,163,30,50
32,1,164,50,30
33,1,177,50,30
34,1,178,70,20
35,1,182,80,10
36,1,190,70,20
37,1,198,70,20
38,1,200,70,20
39,1,201,70,20
40,1,204,50,30
41,1,205,70,20
42,1,206,90,3
43,1,214,80,10
44,1,216,50,30
45,1,217,70,20
46,1,251,100,1
47,1,252,50,30
48,1,253,80,10
49,1,254,90,3
50,1,265,30,50
51,1,266,50,30
52,1,267,70,20
53,1,268,50,30
54,1,269,70,20
55,1,273,30,50
56,1,274,50,30
57,1,275,80,10
58,1,285,50,30
59,1,286,70,20
60,1,287,50,30
61,1,288,70,20
62,1,289,80,10
63,1,290,50,30
64,1,291,70,20
65,1,292,80,10
66,1,316,50,30
67,1,317,70,20
68,1,336,70,20
69,1,352,70,20
70,1,353,50,30
71,1,354,70,20
72,1,355,50,30
73,1,356,70,20
74,1,357,70,20
75,1,387,50,30
76,1,388,80,10
77,1,389,90,3
78,1,401,50,30
79,1,402,70,20
80,1,412,50,30
81,1,413,70,20
82,1,414,70,20
83,1,415,50,30
84,1,416,70,20
85,1,417,50,30
86,1,418,70,20
87,1,426,80,10
88,1,429,80,10
89,1,430,80,10
90,1,453,90,3
91,1,465,80,10
92,1,477,80,10
93,1,488,90,3
94,2,1,50,30
95,2,2,80,10
96,2,3,90,3
97,2,4,50,30
98,2,5,80,10
99,2,6,90,3
100,2,16,30,50
101,2,17,50,30
102,2,18,70,20
103,2,19,30,50
104,2,20,50,30
105,2,21,30,50
106,2,22,50,30
107,2,29,30,50
108,2,30,50,30
109,2,31,70,20
110,2,32,30,50
111,2,33,50,30
112,2,34,70,20
113,2,37,70,20
