id,code,name,species_id,inherits_from_creature_id,height,weight,base_experience,sort_order,default_form,enabled
1,bulbasaur,妙蛙种子,1,,7,69,64,1,true,true
2,ivysaur,妙蛙草,2,,10,130,142,2,true,true
3,venusaur,妙蛙花,3,,20,1000,236,3,true,true
4,charmander,小火龙,4,,6,85,62,5,true,true
5,charmeleon,火恐龙,5,,11,190,142,6,true,true
6,charizard,喷火龙,6,,17,905,240,7,true,true
7,squirtle,杰尼龟,7,,5,90,63,10,true,true
8,wartortle,卡咪龟,8,,10,225,142,11,true,true
9,blastoise,水箭龟,9,,16,855,239,12,true,true
10,caterpie,绿毛虫,10,,3,29,39,14,true,true
11,metapod,铁甲蛹,11,,7,99,72,15,true,true
12,butterfree,巴大蝶,12,,11,320,178,16,true,true
13,weedle,独角虫,13,,3,32,39,17,true,true
14,kakuna,铁壳蛹,14,,6,100,72,18,true,true
15,beedrill,大针蜂,15,,10,295,178,19,true,true
16,pidgey,波波,16,,3,18,50,21,true,true
17,pidgeotto,比比鸟,17,,11,300,122,22,true,true
18,pidgeot,大比鸟,18,,15,395,216,23,true,true
19,rattata,小拉达,19,,3,35,51,25,true,true
20,raticate,拉达,20,,7,185,145,27,true,true
21,spearow,烈雀,21,,3,20,52,30,true,true
22,fearow,大嘴雀,22,,12,380,155,31,true,true
23,ekans,阿柏蛇,23,,20,69,58,32,true,true
24,arbok,阿柏怪,24,,35,650,157,33,true,true
25,pikachu,皮卡丘,25,,4,60,112,35,true,true
26,raichu,雷丘,26,,8,300,218,51,true,true
27,sandshrew,穿山鼠,27,,6,120,60,53,true,true
28,sandslash,穿山王,28,,10,295,158,55,true,true
29,nidoran-f,尼多兰,29,,4,70,55,57,true,true
30,nidorina,尼多娜,30,,8,200,128,58,true,true
31,nidoqueen,尼多后,31,,13,600,227,59,true,true
32,nidoran-m,尼多朗,32,,5,90,55,60,true,true
33,nidorino,尼多力诺,33,,9,195,128,61,true,true
34,nidoking,尼多王,34,,14,620,227,62,true,true
35,clefairy,皮皮,35,,6,75,113,64,true,true
36,clefable,皮可西,36,,13,400,217,65,true,true
37,vulpix,六尾,37,,6,99,60,66,true,true
38,ninetales,九尾,38,,11,199,177,68,true,true
39,jigglypuff,胖丁,39,,5,55,95,71,true,true
40,wigglytuff,胖可丁,40,,10,120,196,72,true,true
41,zubat,超音蝠,41,,8,75,49,73,true,true
42,golbat,大嘴蝠,42,,16,550,159,74,true,true
43,oddish,走路草,43,,5,54,64,76,true,true
44,gloom,臭臭花,44,,8,86,138,77,true,true
45,vileplume,霸王花,45,,12,186,221,78,true,true
46,paras,派拉斯,46,,3,54,57,80,true,true
47,parasect,派拉斯特,47,,10,295,142,81,true,true
48,venonat,毛球,48,,10,300,61,82,true,true
49,venomoth,摩鲁蛾,49,,15,125,158,83,true,true
50,diglett,地鼠,50,,2,8,53,84,true,true
51,dugtrio,三地鼠,51,,7,333,149,86,true,true
52,meowth,喵喵,52,,4,42,58,88,true,true
53,persian,猫老大,53,,10,320,154,91,true,true
54,psyduck,可达鸭,54,,8,196,64,93,true,true
55,golduck,哥达鸭,55,,17,766,175,94,true,true
56,mankey,猴怪,56,,5,280,61,95,true,true
57,primeape,火暴猴,57,,10,320,159,96,true,true
58,growlithe,卡蒂狗,58,,7,190,70,97,true,true
59,arcanine,风速狗,59,,19,1550,194,98,true,true
60,poliwag,蚊香蝌蚪,60,,6,124,60,99,true,true
61,poliwhirl,蚊香君,61,,10,200,135,100,true,true
62,poliwrath,蚊香泳士,62,,13,540,230,101,true,true
63,abra,凯西,63,,9,195,62,103,true,true
64,kadabra,勇基拉,64,,13,565,140,104,true,true
65,alakazam,胡地,65,,15,480,225,105,true,true
66,machop,腕力,66,,8,195,61,107,true,true
67,machoke,豪力,67,,15,705,142,108,true,true
68,machamp,怪力,68,,16,1300,227,109,true,true
69,bellsprout,喇叭芽,69,,7,40,60,110,true,true
