id,creature_id,ability_id,slot_order,hidden
1,1,65,1,false
2,1,34,3,true
3,2,65,1,false
4,2,34,3,true
5,3,65,1,false
6,3,34,3,true
7,4,66,1,false
8,4,94,3,true
9,5,66,1,false
10,5,94,3,true
11,6,66,1,false
12,6,94,3,true
13,7,67,1,false
14,7,44,3,true
15,8,67,1,false
16,8,44,3,true
17,9,67,1,false
18,9,44,3,true
19,10,19,1,false
20,10,50,3,true
21,11,61,1,false
22,12,14,1,false
23,12,110,3,true
24,13,19,1,false
25,13,50,3,true
26,14,61,1,false
27,15,68,1,false
28,15,97,3,true
29,16,51,1,false
30,16,77,2,false
31,16,145,3,true
32,17,51,1,false
33,17,77,2,false
34,17,145,3,true
35,18,51,1,false
36,18,77,2,false
37,18,145,3,true
38,19,50,1,false
39,19,62,2,false
40,19,55,3,true
41,20,50,1,false
42,20,62,2,false
43,20,55,3,true
44,21,51,1,false
45,21,97,3,true
46,22,51,1,false
47,22,97,3,true
48,23,22,1,false
49,23,61,2,false
50,23,127,3,true
51,24,22,1,false
52,24,61,2,false
53,24,127,3,true
54,25,9,1,false
55,25,31,3,true
56,26,9,1,false
57,26,31,3,true
58,27,8,1,false
59,27,146,3,true
60,28,8,1,false
61,28,146,3,true
62,29,38,1,false
63,29,79,2,false
64,29,55,3,true
65,30,38,1,false
66,30,79,2,false
67,30,55,3,true
68,31,38,1,false
69,31,79,2,false
70,31,125,3,true
71,32,38,1,false
72,32,79,2,false
73,32,55,3,true
74,33,38,1,false
75,33,79,2,false
76,33,55,3,true
77,34,38,1,false
78,34,79,2,false
79,34,125,3,true
80,35,56,1,false
81,35,98,2,false
82,35,132,3,true
83,36,56,1,false
84,36,98,2,false
85,36,109,3,true
86,37,18,1,false
87,37,70,3,true
88,38,18,1,false
89,38,70,3,true
90,39,56,1,false
91,39,172,2,false
92,39,132,3,true
93,40,56,1,false
94,40,172,2,false
95,40,119,3,true
96,41,39,1,false
97,41,151,3,true
98,42,39,1,false
99,42,151,3,true
100,43,34,1,false
101,43,50,3,true
102,44,34,1,false
103,44,1,3,true
104,45,34,1,false
105,45,27,3,true
106,46,27,1,false
