id,creature_id,stat_id,base_value,effort
1,1,1,45,0
2,1,2,49,0
3,1,3,49,0
4,1,4,65,1
5,1,5,65,0
6,1,6,45,0
7,2,1,60,0
8,2,2,62,0
9,2,3,63,0
10,2,4,80,1
11,2,5,80,1
12,2,6,60,0
13,3,1,80,0
14,3,2,82,0
15,3,3,83,0
16,3,4,100,2
17,3,5,100,1
18,3,6,80,0
19,4,1,39,0
20,4,2,52,0
21,4,3,43,0
22,4,4,60,0
23,4,5,50,0
24,4,6,65,1
25,5,1,58,0
26,5,2,64,0
27,5,3,58,0
28,5,4,80,1
29,5,5,65,0
30,5,6,80,1
31,6,1,78,0
32,6,2,84,0
33,6,3,78,0
34,6,4,109,3
35,6,5,85,0
36,6,6,100,0
37,7,1,44,0
38,7,2,48,0
39,7,3,65,1
40,7,4,50,0
41,7,5,64,0
42,7,6,43,0
43,8,1,59,0
44,8,2,63,0
45,8,3,80,1
46,8,4,65,0
47,8,5,80,1
48,8,6,58,0
49,9,1,79,0
50,9,2,83,0
51,9,3,100,0
52,9,4,85,0
53,9,5,105,3
54,9,6,78,0
55,10,1,45,1
56,10,2,30,0
57,10,3,35,0
58,10,4,20,0
59,10,5,20,0
60,10,6,45,0
61,11,1,50,0
62,11,2,20,0
63,11,3,55,2
64,11,4,25,0
65,11,5,25,0
66,11,6,30,0
67,12,1,60,0
68,12,2,45,0
69,12,3,50,0
70,12,4,90,2
71,12,5,80,1
72,12,6,70,0
73,13,1,40,0
74,13,2,35,0
75,13,3,30,0
76,13,4,20,0
77,13,5,20,0
78,13,6,50,1
79,14,1,45,0
80,14,2,25,0
81,14,3,50,2
82,14,4,25,0
83,14,5,25,0
84,14,6,35,0
85,15,1,65,0
86,15,2,90,2
87,15,3,40,0
88,15,4,45,0
89,15,5,80,1
90,15,6,75,0
91,16,1,40,0
92,16,2,45,0
93,16,3,40,0
94,16,4,35,0
95,16,5,35,0
96,16,6,56,1
97,17,1,63,0
98,17,2,60,0
99,17,3,55,0
100,17,4,50,0
101,17,5,50,0
102,17,6,71,2
103,18,1,83,0
104,18,2,80,0
105,18,3,75,0
106,18,4,70,0
107,18,5,70,0
108,18,6,101,3
109,19,1,30,0
110,19,2,56,0
111,19,3,35,0
112,19,4,25,0
113,19,5,35,0
114,19,6,72,1
115,20,1,55,0
116,20,2,81,0
117,20,3,60,0
118,20,4,50,0
119,20,5,70,0
120,20,6,97,2
121,21,1,40,0
122,21,2,60,0
123,21,3,30,0
124,21,4,31,0
125,21,5,31,0
126,21,6,70,1
127,22,1,65,0
128,22,2,90,0
129,22,3,65,0
130,22,4,61,0
131,22,5,61,0
132,22,6,100,2
133,23,1,35,0
134,23,2,60,1
135,23,3,44,0
136,23,4,40,0
137,23,5,54,0
138,23,6,55,0
139,24,1,60,0
140,24,2,95,2
141,24,3,69,0
142,24,4,65,0
143,24,5,79,0
144,24,6,80,0
145,25,1,35,0
146,25,2,55,0
147,25,3,40,0
148,25,4,50,0
149,25,5,50,0
150,25,6,90,2
151,26,1,60,0
152,26,2,90,0
153,26,3,55,0
154,26,4,90,0
155,26,5,80,0
156,26,6,110,3
157,27,1,50,0
158,27,2,75,0
159,27,3,85,1
160,27,4,20,0
161,27,5,30,0
162,27,6,40,0
163,28,1,75,0
164,28,2,100,0
165,28,3,110,2
166,28,4,45,0
167,28,5,55,0
168,28,6,65,0
169,29,1,55,1
170,29,2,47,0
171,29,3,52,0
172,29,4,40,0
173,29,5,40,0
174,29,6,41,0
175,30,1,70,2
176,30,2,62,0
177,30,3,67,0
178,30,4,55,0
179,30,5,55,0
180,30,6,56,0
181,31,1,90,3
182,31,2,92,0
183,31,3,87,0
184,31,4,75,0
185,31,5,85,0
186,31,6,76,0
187,32,1,46,0
188,32,2,57,1
189,32,3,40,0
190,32,4,40,0
191,32,5,40,0
192,32,6,50,0
193,33,1,61,0
194,33,2,72,2
195,33,3,57,0
196,33,4,55,0
197,33,5,55,0
198,33,6,65,0
199,34,1,81,0
200,34,2,102,3
201,34,3,77,0
202,34,4,85,0
203,34,5,75,0
204,34,6,85,0
205,35,1,70,2
206,35,2,45,0
207,35,3,48,0
208,35,4,60,0
209,35,5,65,0
210,35,6,35,0
211,36,1,95,3
212,36,2,70,0
213,36,3,73,0
214,36,4,95,0
215,36,5,90,0
216,36,6,60,0
217,37,1,38,0
218,37,2,41,0
219,37,3,40,0
220,37,4,50,0
221,37,5,65,0
222,37,6,65,1
223,38,1,73,0
224,38,2,76,0
225,38,3,75,0
226,38,4,81,0
227,38,5,100,1
228,38,6,100,1
229,39,1,115,2
230,39,2,45,0
231,39,3,20,0
232,39,4,45,0
233,39,5,25,0
234,39,6,20,0
235,40,1,140,3
236,40,2,70,0
237,40,3,45,0
238,40,4,85,0
239,40,5,50,0
240,40,6,45,0
241,41,1,40,0
242,41,2,45,0
243,41,3,35,0
244,41,4,30,0
245,41,5,40,0
246,41,6,55,1
247,42,1,75,0
248,42,2,80,0
249,42,3,70,0
250,42,4,65,0
251,42,5,75,0
252,42,6,90,2
253,43,1,45,0
254,43,2,50,0
255,43,3,55,0
256,43,4,75,1
257,43,5,65,0
258,43,6,30,0
259,44,1,60,0
260,44,2,65,0
261,44,3,70,0
262,44,4,85,2
263,44,5,75,0
264,44,6,40,0
265,45,1,75,0
266,45,2,80,0
267,45,3,85,0
268,45,4,110,3
269,45,5,90,0
270,45,6,50,0
271,46,1,35,0
272,46,2,70,1
