id,code,name,element_id,damage_class_id,accuracy,power,pp,priority,effect_chance,enabled
1,pound,拍击,1,2,100,40,35,0,,true
2,karate-chop,空手劈,2,2,100,50,25,0,,true
3,double-slap,连环巴掌,1,2,85,15,10,0,,true
4,comet-punch,连续拳,1,2,85,18,15,0,,true
5,mega-punch,百万吨重拳,1,2,85,80,20,0,,true
6,pay-day,聚宝功,1,2,100,40,20,0,,true
7,fire-punch,火焰拳,10,2,100,75,15,0,10,true
8,ice-punch,冰冻拳,15,2,100,75,15,0,10,true
9,thunder-punch,雷电拳,13,2,100,75,15,0,10,true
10,scratch,抓,1,2,100,40,35,0,,true
11,vice-grip,夹住,1,2,100,55,30,0,,true
12,guillotine,断头钳,1,2,30,,5,0,,true
13,razor-wind,旋风刀,1,3,100,80,10,0,,true
14,swords-dance,剑舞,1,1,,,20,0,,true
15,cut,居合斩,1,2,95,50,30,0,,true
16,gust,起风,3,3,100,40,35,0,,true
17,wing-attack,翅膀攻击,3,2,100,60,35,0,,true
18,whirlwind,吹飞,1,1,,,20,-6,,true
19,fly,飞翔,3,2,95,90,15,0,,true
20,bind,绑紧,1,2,85,15,20,0,100,true
21,slam,摔打,1,2,75,80,20,0,,true
22,vine-whip,藤鞭,12,2,100,45,25,0,,true
23,stomp,踩踏,1,2,100,65,20,0,30,true
24,double-kick,二连踢,2,2,100,30,30,0,,true
25,mega-kick,百万吨重踢,1,2,75,120,5,0,,true
26,jump-kick,飞踢,2,2,95,100,10,0,,true
27,rolling-kick,回旋踢,2,2,85,60,15,0,30,true
28,sand-attack,泼沙,5,1,100,,15,0,,true
29,headbutt,头锤,1,2,100,70,15,0,30,true
30,horn-attack,角撞,1,2,100,65,25,0,,true
31,fury-attack,乱击,1,2,85,15,20,0,,true
32,horn-drill,角钻,1,2,30,,5,0,,true
33,tackle,撞击,1,2,100,40,35,0,,true
34,body-slam,泰山压顶,1,2,100,85,15,0,30,true
35,wrap,紧束,1,2,90,15,20,0,100,true
36,take-down,猛撞,1,2,85,90,20,0,,true
37,thrash,大闹一番,1,2,100,120,10,0,,true
38,double-edge,舍身冲撞,1,2,100,120,15,0,,true
39,tail-whip,摇尾巴,1,1,100,,30,0,,true
40,poison-sting,毒针,4,2,100,15,35,0,30,true
41,twineedle,双针,7,2,100,25,20,0,20,true
42,pin-missile,飞弹针,7,2,95,25,20,0,,true
43,leer,瞪眼,1,1,100,,30,0,100,true
44,bite,咬住,17,2,100,60,25,0,30,true
45,growl,叫声,1,1,100,,40,0,,true
46,roar,吼叫,1,1,,,20,-6,,true
47,sing,唱歌,1,1,55,,15,0,,true
48,supersonic,超音波,1,1,55,,20,0,,true
49,sonic-boom,音爆,1,3,90,,20,0,,true
50,disable,定身法,1,1,100,,20,0,,true
51,acid,溶解液,4,3,100,40,30,0,10,true
52,ember,火花,10,3,100,40,25,0,10,true
53,flamethrower,喷射火焰,10,3,100,90,15,0,10,true
54,mist,白雾,15,1,,,30,0,,true
55,water-gun,水枪,11,3,100,40,25,0,,true
56,hydro-pump,水炮,11,3,80,110,5,0,,true
57,surf,冲浪,11,3,100,90,15,0,,true
58,ice-beam,冰冻光束,15,3,100,90,10,0,10,true
59,blizzard,暴风雪,15,3,70,110,5,0,10,true
60,psybeam,幻象光线,14,3,100,65,20,0,10,true
61,bubble-beam,泡沫光线,11,3,100,65,20,0,10,true
62,aurora-beam,极光束,15,3,100,65,20,0,10,true
63,hyper-beam,破坏光线,1,3,90,150,5,0,,true
64,peck,啄,3,2,100,35,35,0,,true
65,drill-peck,啄钻,3,2,100,80,20,0,,true
66,submission,地狱翻滚,2,2,80,80,20,0,,true
67,low-kick,踢倒,2,2,100,,20,0,,true
68,counter,双倍奉还,2,2,100,,20,-5,,true
69,seismic-toss,地球上投,2,2,100,,20,0,,true
70,strength,怪力,1,2,100,80,15,0,,true
71,absorb,吸取,12,3,100,20,25,0,,true
72,mega-drain,超级吸取,12,3,100,40,15,0,,true
73,leech-seed,寄生种子,12,1,90,,10,0,,true
74,growth,生长,1,1,,,20,0,,true
75,razor-leaf,飞叶快刀,12,2,95,55,25,0,,true
76,solar-beam,日光束,12,3,100,120,10,0,,true
77,poison-powder,毒粉,4,1,75,,35,0,,true
78,stun-spore,麻痹粉,12,1,75,,30,0,,true
79,sleep-powder,催眠粉,12,1,75,,15,0,,true
80,petal-dance,花瓣舞,12,3,100,120,10,0,,true
81,string-shot,吐丝,7,1,95,,40,0,,true
82,dragon-rage,龙之怒,16,3,100,,10,0,,true
83,fire-spin,火焰旋涡,10,3,85,35,15,0,100,true
84,thunder-shock,电击,13,3,100,40,30,0,10,true
85,thunderbolt,十万伏特,13,3,100,90,15,0,10,true
86,thunder-wave,电磁波,13,1,90,,20,0,,true
87,thunder,打雷,13,3,70,110,10,0,30,true
88,rock-throw,落石,6,2,90,50,15,0,,true
89,earthquake,地震,5,2,100,100,10,0,,true
90,fissure,地裂,5,2,30,,5,0,,true
91,dig,挖洞,5,2,100,80,10,0,,true
92,toxic,剧毒,4,1,90,,10,0,,true
93,confusion,念力,14,3,100,50,25,0,10,true
94,psychic,精神强念,14,3,100,90,10,0,10,true
95,hypnosis,催眠术,14,1,60,,20,0,,true
96,meditate,瑜伽姿势,14,1,,,40,0,,true
97,agility,高速移动,14,1,,,30,0,,true
98,quick-attack,电光一闪,1,2,100,40,30,1,,true
99,rage,愤怒,1,2,100,20,20,0,,true
100,teleport,瞬间移动,14,1,,,20,-6,,true
101,night-shade,黑夜魔影,8,3,100,,15,0,,true
102,mimic,模仿,1,1,,,10,0,,true
103,screech,刺耳声,1,1,85,,40,0,,true
104,double-team,影子分身,1,1,,,15,0,,true
105,recover,自我再生,1,1,,,5,0,,true
106,harden,变硬,1,1,,,30,0,,true
107,minimize,变小,1,1,,,10,0,,true
108,smokescreen,烟幕,1,1,100,,20,0,,true
109,confuse-ray,奇异之光,8,1,100,,10,0,,true
110,withdraw,缩入壳中,11,1,,,40,0,,true
111,defense-curl,变圆,1,1,,,40,0,,true
112,barrier,屏障,14,1,,,20,0,,true
113,light-screen,光墙,14,1,,,30,0,,true
114,haze,黑雾,15,1,,,30,0,,true
115,reflect,反射壁,14,1,,,20,0,,true
116,focus-energy,聚气,1,1,,,30,0,,true
117,bide,忍耐,1,2,,,10,1,,true
118,metronome,挥指,1,1,,,10,0,,true
119,mirror-move,鹦鹉学舌,3,1,,,20,0,,true
120,self-destruct,自爆,1,2,100,200,5,0,,true
121,egg-bomb,炸蛋,1,2,75,100,10,0,,true
122,lick,舌舔,8,2,100,30,30,0,30,true
123,smog,浊雾,4,3,70,30,20,0,40,true
124,sludge,污泥攻击,4,3,100,65,20,0,30,true
125,bone-club,骨棒,5,2,85,65,20,0,10,true
126,fire-blast,大字爆炎,10,3,85,110,5,0,10,true
127,waterfall,攀瀑,11,2,100,80,15,0,20,true
128,clamp,贝壳夹击,11,2,85,35,15,0,100,true
129,swift,高速星星,1,3,,60,20,0,,true
130,skull-bash,火箭头锤,1,2,100,130,10,0,100,true
131,spike-cannon,尖刺加农炮,1,2,100,20,15,0,,true
132,constrict,缠绕,1,2,100,10,35,0,10,true
133,amnesia,瞬间失忆,14,1,,,20,0,,true
134,kinesis,折弯汤匙,14,1,80,,15,0,,true
135,soft-boiled,生蛋,1,1,,,5,0,,true
136,high-jump-kick,飞膝踢,2,2,90,130,10,0,,true
137,glare,大蛇瞪眼,1,1,100,,30,0,,true
138,dream-eater,食梦,14,3,100,100,15,0,,true
139,poison-gas,毒瓦斯,4,1,90,,40,0,,true
140,barrage,投球,1,2,85,15,20,0,,true
141,leech-life,吸血,7,2,100,80,10,0,,true
142,lovely-kiss,恶魔之吻,1,1,75,,10,0,,true
143,sky-attack,神鸟猛击,3,2,90,140,5,0,30,true
144,transform,变身,1,1,,,10,0,,true
145,bubble,泡沫,11,3,100,40,30,0,10,true
146,dizzy-punch,迷昏拳,1,2,100,70,10,0,20,true
147,spore,蘑菇孢子,12,1,100,,15,0,,true
148,flash,闪光,1,1,100,,20,0,,true
149,psywave,精神波,14,3,100,,15,0,,true
150,splash,跃起,1,1,,,40,0,,true
151,acid-armor,溶化,4,1,,,20,0,,true
152,crabhammer,蟹钳锤,11,2,90,100,10,0,,true
153,explosion,大爆炸,1,2,100,250,5,0,,true
154,fury-swipes,乱抓,1,2,80,18,15,0,,true
155,bonemerang,骨头回力镖,5,2,90,50,10,0,,true
156,rest,睡觉,14,1,,,5,0,,true
157,rock-slide,岩崩,6,2,90,75,10,0,30,true
158,hyper-fang,必杀门牙,1,2,90,80,15,0,10,true
159,sharpen,棱角化,1,1,,,30,0,,true
160,conversion,纹理,1,1,,,30,0,,true
161,tri-attack,三重攻击,1,3,100,80,10,0,20,true
162,super-fang,愤怒门牙,1,2,90,,10,0,,true
163,slash,劈开,1,2,100,70,20,0,,true
164,substitute,替身,1,1,,,10,0,,true
165,struggle,挣扎,1,2,,50,1,0,,true
166,sketch,写生,1,1,,,1,0,,true
167,triple-kick,三连踢,2,2,90,10,10,0,,true
168,thief,小偷,17,2,100,60,25,0,,true
169,spider-web,蛛网,7,1,,,10,0,,true
170,mind-reader,心之眼,1,1,,,5,0,,true
171,nightmare,恶梦,8,1,100,,15,0,,true
172,flame-wheel,火焰轮,10,2,100,60,25,0,10,true
173,snore,打鼾,1,3,100,50,15,0,30,true
174,curse,诅咒,8,1,,,10,0,,true
175,flail,抓狂,1,2,100,,15,0,,true
176,conversion-2,纹理２,1,1,,,30,0,,true
177,aeroblast,气旋攻击,3,3,95,100,5,0,,true
178,cotton-spore,棉孢子,12,1,100,,40,0,,true
179,reversal,起死回生,2,2,100,,15,0,,true
180,spite,怨恨,8,1,100,,10,0,,true
181,powder-snow,细雪,15,3,100,40,25,0,10,true
182,protect,守住,1,1,,,10,4,,true
183,mach-punch,音速拳,2,2,100,40,30,1,,true
184,scary-face,鬼面,1,1,100,,10,0,,true
185,feint-attack,出奇一击,17,2,,60,20,0,,true
186,sweet-kiss,天使之吻,18,1,75,,10,0,,true
187,belly-drum,腹鼓,1,1,,,10,0,,true
188,sludge-bomb,污泥炸弹,4,3,100,90,10,0,30,true
189,mud-slap,掷泥,5,3,100,20,10,0,100,true
190,octazooka,章鱼桶炮,11,3,85,65,10,0,50,true
191,spikes,撒菱,5,1,,,20,0,,true
192,zap-cannon,电磁炮,13,3,50,120,5,0,100,true
193,foresight,识破,1,1,,,40,0,,true
194,destiny-bond,同命,8,1,,,5,0,,true
195,perish-song,灭亡之歌,1,1,,,5,0,,true
196,icy-wind,冰冻之风,15,3,95,55,15,0,100,true
