id,species_id,egg_group_id,slot_order
1,1,1,1
2,1,7,2
3,2,1,1
4,2,7,2
5,3,1,1
6,3,7,2
7,4,1,1
8,4,14,2
9,5,1,1
10,5,14,2
11,6,1,1
12,6,14,2
13,7,1,1
14,7,2,2
15,8,1,1
16,8,2,2
17,9,1,1
18,9,2,2
19,10,3,1
20,11,3,1
21,12,3,1
22,13,3,1
23,14,3,1
24,15,3,1
25,16,4,1
26,17,4,1
27,18,4,1
28,19,5,1
29,20,5,1
30,21,4,1
31,22,4,1
32,23,5,1
33,23,14,2
34,24,5,1
35,24,14,2
36,25,5,1
37,25,6,2
38,26,5,1
39,26,6,2
40,27,5,1
41,28,5,1
42,29,1,1
43,29,5,2
44,30,15,1
45,31,15,1
46,32,1,1
47,32,5,2
48,33,1,1
49,33,5,2
50,34,1,1
51,34,5,2
52,35,6,1
53,36,6,1
54,37,5,1
55,38,5,1
56,39,6,1
57,40,6,1
58,41,4,1
59,42,4,1
60,43,7,1
61,44,7,1
62,45,7,1
63,46,3,1
64,46,7,2
65,47,3,1
66,47,7,2
67,48,3,1
68,49,3,1
69,50,5,1
70,51,5,1
71,52,5,1
72,53,5,1
73,54,2,1
74,54,5,2
75,55,2,1
76,55,5,2
77,56,5,1
78,57,5,1
79,58,5,1
80,59,5,1
81,60,2,1
82,61,2,1
83,62,2,1
84,63,8,1
85,64,8,1
86,65,8,1
87,66,8,1
88,67,8,1
89,68,8,1
90,69,7,1
91,70,7,1
92,71,7,1
93,72,9,1
94,73,9,1
95,74,10,1
96,75,10,1
97,76,10,1
98,77,5,1
99,78,5,1
100,79,1,1
101,79,2,2
102,80,1,1
103,80,2,2
104,81,10,1
105,82,10,1
106,83,4,1
107,83,5,2
108,84,4,1
109,85,4,1
110,86,2,1
111,86,5,2
112,87,2,1
113,87,5,2
114,88,11,1
115,89,11,1
116,90,9,1
117,91,9,1
118,92,11,1
119,93,11,1
120,94,11,1
121,95,10,1
122,96,8,1
123,97,8,1
124,98,9,1
125,99,9,1
126,100,10,1
127,101,10,1
128,102,7,1
129,103,7,1
130,104,1,1
131,105,1,1
132,106,8,1
133,107,8,1
134,108,1,1
135,109,11,1
136,110,11,1
137,111,1,1
138,111,5,2
139,112,1,1
140,112,5,2
141,113,6,1
142,114,7,1
143,115,1,1
144,116,2,1
145,116,14,2
146,117,2,1
147,117,14,2
148,118,12,1
149,119,12,1
150,120,9,1
151,121,9,1
152,122,8,1
153,123,3,1
154,124,8,1
155,125,8,1
156,126,8,1
157,127,3,1
158,128,5,1
159,129,12,1
160,129,14,2
161,130,12,1
162,130,14,2
163,131,1,1
164,131,2,2
165,132,13,1
166,133,5,1
167,134,5,1
168,135,5,1
169,136,5,1
170,137,10,1
171,138,2,1
172,138,9,2
173,139,2,1
174,139,9,2
175,140,2,1
176,140,9,2
177,141,2,1
178,141,9,2
179,142,4,1
180,143,1,1
181,144,15,1
182,145,15,1
183,146,15,1
184,147,2,1
185,147,14,2
186,148,2,1
187,148,14,2
188,149,2,1
189,149,14,2
190,150,15,1
191,151,15,1
192,152,1,1
193,152,7,2
194,153,1,1
195,153,7,2
196,154,1,1
197,154,7,2
198,155,5,1
199,156,5,1
200,157,5,1
201,158,1,1
202,158,2,2
203,159,1,1
204,159,2,2
205,160,1,1
206,160,2,2
207,161,5,1
208,162,5,1
209,163,4,1
210,164,4,1
211,165,3,1
212,166,3,1
213,167,3,1
214,168,3,1
215,169,4,1
216,170,12,1
217,171,12,1
218,172,15,1
219,173,15,1
220,174,15,1
221,175,15,1
222,176,4,1
223,176,6,2
224,177,4,1
225,178,4,1
226,179,1,1
227,179,5,2
228,180,1,1
229,180,5,2
230,181,1,1
231,181,5,2
232,182,7,1
233,183,2,1
234,183,6,2
235,184,2,1
236,184,6,2
237,185,10,1
238,186,2,1
239,187,6,1
240,187,7,2
241,188,6,1
242,188,7,2
243,189,6,1
244,189,7,2
245,190,5,1
246,191,7,1
247,192,7,1
248,193,3,1
249,194,2,1
250,194,5,2
251,195,2,1
252,195,5,2
253,196,5,1
254,197,5,1
255,198,4,1
256,199,1,1
257,199,2,2
258,200,11,1
259,201,15,1
260,202,11,1
261,203,5,1
262,204,3,1
263,205,3,1
264,206,5,1
265,207,3,1
266,208,10,1
267,209,5,1
268,209,6,2
269,210,5,1
270,210,6,2
271,211,12,1
272,212,3,1
273,213,3,1
274,214,3,1
275,215,5,1
276,216,5,1
277,217,5,1
278,218,11,1
279,219,11,1
280,220,5,1
281,221,5,1
282,222,2,1
283,222,9,2
284,223,2,1
285,223,12,2
286,224,2,1
287,224,12,2
288,225,2,1
289,225,5,2
290,226,2,1
291,227,4,1
292,228,5,1
293,229,5,1
294,230,2,1
295,230,14,2
296,231,5,1
297,232,5,1
298,233,10,1
299,234,5,1
300,235,5,1
301,236,15,1
302,237,8,1
303,238,15,1
304,239,15,1
305,240,15,1
306,241,5,1
307,242,6,1
308,243,15,1
309,244,15,1
310,245,15,1
311,246,1,1
312,247,1,1
313,248,1,1
314,249,15,1
315,250,15,1
316,251,15,1
317,252,1,1
318,252,14,2
319,253,1,1
320,253,14,2
321,254,1,1
322,254,14,2
323,255,5,1
324,256,5,1
325,257,5,1
326,258,1,1
